,Company,Indicator,CAGR 3 Yrs,CAGR 5 Yrs,TTM,Mar '25,Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,Mar '17,Mar '16,Mar '15
2359,RO Jewels,NPM Ann. %,1.9%,-, ,0.37%,0.25%,0.39%,0.35%,0.18%,-0.07%,0.35%,0.70%,1.02%,,
2360,RO Jewels,EPS Adj. latest Ann.,-,-, ,0,0.2,0.4,0,0,-0,,0,0,,
2361,RO Jewels,Result Notes, , , ,Notes, ,Notes, , , , , , ,,
2362,RO Jewels,Annual Reports, , , , ,,,,,, , , ,,
2363,SM Auto Stamping,Total Rev. Ann.,7.2%,8.8%,,68.3,68.4,70.2,55.4,39.6,44.9,58.9,51.6,45.2,47.2,44.4
2364,SM Auto Stamping,Operating Rev. Ann.,6.8%,8.4%,,66.4,67.6,68.7,54.5,38.9,44.3,58.1,49.4,42.6,45.3,44.2
2365,SM Auto Stamping,Other Income Ann.,28.3%,25.9%,,1.9,0.9,1.5,0.9,0.7,0.6,0.8,2.2,2.5,1.9,0.2
2366,SM Auto Stamping,Operating Exp. Ann.,-,-,,-,61.2,63.3,49.7,38,45.6,54,46.1,41,42.9,39.5
2367,SM Auto Stamping,Operating Exp. Ann.,-,-,,-,61.2,63.3,49.7,38,45.6,54,46.1,41,42.9,39.5
2368,SM Auto Stamping,Operating Profit Ann.,-,-,,-,6.4,5.4,4.8,0.9,-1.2,4.2,3.3,1.6,2.4,4.8
2369,SM Auto Stamping,OPM Ann. %,-,-,,-,9.35%,7.68%,8.68%,2.31%,-2.69%,7.08%,6.46%,3.59%,5.10%,10.72%
2370,SM Auto Stamping,Total Exp. Ann.,7.3%,6%,,64.4,63.5,65.8,52.2,40.7,48.1,56.5,49.1,44.8,46.7,43.9
2371,SM Auto Stamping,Other Exp. Ann.,37.7%,25.7%,,4.7,2.5,2.2,1.8,1.7,1.5,2,1.6,1.9,1.8,1.4
2372,SM Auto Stamping,Employee Exp. Ann.,14.7%,6.6%,,8,7.9,6.8,5.3,4.4,5.8,5.4,4.3,3.7,4.1,4.1
2373,SM Auto Stamping,Cost Of Power Purchased Ann.,-,-,,,,,,,,,,,,
2374,SM Auto Stamping,Cost Of Fuel Ann.,-,-,,,,,,,,,,,,
2375,SM Auto Stamping,EBITDA Ann.,-,-,,-,7.2,6.9,5.7,1.6,-0.6,4.9,5.5,4.2,4.3,4.9
2376,SM Auto Stamping,EBITDA Ann. margin %,-,-,,-,10.59%,9.80%,10.23%,4.00%,-1.42%,8.37%,10.68%,9.22%,9.03%,11.07%
2377,SM Auto Stamping,Interest Ann.,-14.9%,-9.3%,,0.8,1.1,1.3,1.3,1.6,1.3,1.4,1.7,2.2,2.1,2.4
2378,SM Auto Stamping,Depr.,-2.9%,-3.3%,,1.1,1.3,1.2,1.2,1.1,1.3,1.2,1.3,1.6,1.7,2.1
2379,SM Auto Stamping,PBT Ann.,5.9%,-,,3.8,4.9,4.5,3.2,-0.6,-3.2,2.4,2.5,0.4,0.5,0.5
2380,SM Auto Stamping,Tax Ann.,-,-,,1.1,1.9,1.4,-0.4,1.1,-0.9,0.6,0.5,0.2,0.2,0.1
2381,SM Auto Stamping,PAT Before ExtraOrdinary Items Ann.,-8%,-,,2.8,3,3.1,3.6,-1.7,-2.2,1.8,2,0.2,0.3,0.4
2382,SM Auto Stamping,Minority Interest Income Ann.,-,-,,-,-,-,-,-,-,-,-,-,-,-
2383,SM Auto Stamping,Net Profit Ann.,-8%,-,,2.8,3,3.1,3.6,-1.7,-2.7,1.8,2,0.2,0.3,0.4
2384,SM Auto Stamping,NPM Ann. %,-14.7%,-,,4.14%,4.44%,4.49%,6.67%,-4.36%,-6.04%,3.02%,4.10%,0.48%,0.72%,0.82%
2385,SM Auto Stamping,EPS Adj. latest Ann.,-9.5%,-,,2,2.2,2.3,2.7,-1.2,-2,1.3,1.5,0.2,0.2,0.3
2386,SM Auto Stamping,Annual Reports, , ,, , , , , ,, , , , , 
2387,SBI Cards and Payment,Total Rev. Ann.,18.1%,13.8%,"18,636.7","18,637.2","17,483.5","14,285.7","11,301.5","9,713.6","9,752.3","7,286.8","5,370.2","3,363.5","2,492.2","1,905.5"
2388,SBI Cards and Payment,Operating Rev. Ann.,19.2%,14.3%,"18,072.3","18,072.2","16,968.4","13,666.6","10,677.3","9,277.5","9,276.4","6,999.1","5,187","3,238.7","2,386.8","1,804.7"
2389,SBI Cards and Payment,Other Income Ann.,-3.3%,3.5%,564.4,564.9,515.1,619,624.3,436.1,475.9,287.7,183.2,124.8,105.4,100.7
2390,SBI Cards and Payment,Operating Exp. Ann.,17%,14%,"7,860","12,731.3","11,459.7","9,443.7","7,953.5","7,223.2","6,617.9","4,856.9","3,714.8","2,242.4","1,622.8","1,261.2"
2391,SBI Cards and Payment,Operating Exp. Ann.,17%,14%,"7,860","12,731.3","11,459.7","9,443.7","7,953.5","7,223.2","6,617.9","4,856.9","3,714.8","2,242.4","1,622.8","1,261.2"
2392,SBI Cards and Payment,Operating Profit Ann.,25.2%,15%,"5,341.4","5,341","5,508.7","4,223","2,723.8","2,054.3","2,658.5","2,142.2","1,472.1",996.3,764,543.5
2393,SBI Cards and Payment,OPM Ann. %,5.9%,1%, ,28.66%,31.51%,29.56%,24.10%,21.15%,27.26%,29.40%,27.41%,29.62%,30.66%,28.52%
2394,SBI Cards and Payment,Total Exp. Ann.,20.7%,14.9%, ,"16,056.5","14,251.7","11,255.1","9,129.4","8,389.9","8,022.7","5,955.2","4,450.9","2,765","2,054","1,634.8"
2395,SBI Cards and Payment,Other Exp. Ann.,20.1%,11.6%,"7,270.6","7,270.2","5,960.5","5,351.2","4,200.5","3,424.9","4,208.8","3,318.8","2,721.7","1,794","1,275.8",965.6
2396,SBI Cards and Payment,Employee Exp. Ann.,7.6%,4.7%,589.4,589.6,569.7,561.9,472.7,491.6,468.4,390.4,193.1,101.1,79.2,62.5
2397,SBI Cards and Payment,Cost Of Power Purchased Ann.,-,-, ,,,,,,,,,,,
2398,SBI Cards and Payment,Cost Of Fuel Ann.,-,-, ,,,,,,,,,,,
2399,SBI Cards and Payment,EBITDA Ann.,20.8%,13.5%, ,"5,905.9","6,023.8","4,842","3,348","2,490.4","3,134.4","2,429.9","1,655.4","1,121.1",869.4,644.3
2400,SBI Cards and Payment,EBITDA Ann. margin %,2.3%,-0.3%, ,31.69%,34.45%,33.89%,29.62%,25.64%,32.14%,33.35%,30.82%,33.33%,34.88%,33.81%
2401,SBI Cards and Payment,Interest Ann.,45.7%,19.6%,"3,178.4","3,178.4","2,595.2","1,647.6","1,027.3","1,043.4","1,300.9","1,017.2",711.5,521.6,430.3,372.8
2402,SBI Cards and Payment,Depr.,-0.4%,7.2%,146.8,146.8,196.8,163.8,148.6,123.3,103.8,81.1,24.5,1,0.8,0.8
2403,SBI Cards and Payment,PBT Ann.,5.9%,8.3%,"2,580.5","2,580.7","3,231.8","3,030.6","2,172.2","1,323.7","1,729.6","1,331.6",919.3,598.5,438.2,270.7
2404,SBI Cards and Payment,Tax Ann.,6.1%,6.5%,664.3,664.3,823.9,772.1,556,339.2,484.8,468.9,318.2,208.1,154.3,4
2405,SBI Cards and Payment,PAT Before ExtraOrdinary Items Ann.,5.8%,9%, ,"1,916.4","2,407.9","2,258.5","1,616.1",984.5,"1,244.8",862.7,601.1,390.4,283.9,266.7
2406,SBI Cards and Payment,Minority Interest Income Ann.,-,-, ,-,-,-,-,-,-,-,-,-,-,-
2407,SBI Cards and Payment,Net Profit Ann.,5.8%,9%,"1,916.3","1,916.4","2,407.9","2,258.5","1,616.1",984.5,"1,244.8",862.7,601.1,390.4,283.9,266.7
2408,SBI Cards and Payment,NPM Ann. %,-11.2%,-4.6%, ,10.60%,14.19%,16.52%,15.13%,10.61%,13.41%,12.32%,11.58%,12.05%,11.89%,14.77%
2409,SBI Cards and Payment,EPS Adj. latest Ann.,5.7%,8.9%, ,20.1,25.3,23.7,17,10.4,13.1,9.1,6.3,4.1,3,2.8
2410,SBI Cards and Payment,Annual Reports, , , , ,,,,,, , , , , 
2411,Chandra Bhagat Pharma,Total Rev. Ann.,-1.2%,-0.5%,,92.2,232.7,120,95.7,71.2,94.4,106.7,97.7,90.3,,
2412,Chandra Bhagat Pharma,Operating Rev. Ann.,-2.7%,-1.6%,,86.7,221.4,119.7,94.1,70.7,94,106.3,97.1,89.8,,
2413,Chandra Bhagat Pharma,Other Income Ann.,50.9%,68.9%,,5.5,11.3,0.3,1.6,0.5,0.4,0.4,0.7,0.5,,
2414,Chandra Bhagat Pharma,Operating Exp. Ann.,-,-,,-,228.4,116.4,91.4,70.4,90.9,102,93,85.9,,
2415,Chandra Bhagat Pharma,Operating Exp. Ann.,-,-,,-,228.4,116.4,91.4,70.4,90.9,102,93,85.9,,
2416,Chandra Bhagat Pharma,Operating Profit Ann.,-,-,,-,-7,3.3,2.7,0.3,3.1,4.2,4.1,3.9,,
2417,Chandra Bhagat Pharma,OPM Ann. %,-,-,,-,-3.03%,2.77%,2.80%,0.45%,3.25%,3.97%,4.17%,4.32%,,
2418,Chandra Bhagat Pharma,Total Exp. Ann.,-1.2%,-0.6%,,91.1,230.4,118.8,94.6,70.9,94,105.8,96.2,89.4,,
2419,Chandra Bhagat Pharma,Other Exp. Ann.,14.3%,35.6%,,12.4,17.7,8.2,8.3,8.6,2.7,5,5.4,6.5,,
2420,Chandra Bhagat Pharma,Employee Exp. Ann.,13.7%,0.8%,,2.5,2.7,1.6,1.7,2,2.4,4.7,5.2,5.8,,
2421,Chandra Bhagat Pharma,Cost Of Power Purchased Ann.,-,-,,,,,,,,,,,,
2422,Chandra Bhagat Pharma,Cost Of Fuel Ann.,-,-,,,,,,,,,,,,
2423,Chandra Bhagat Pharma,EBITDA Ann.,-,-,,-,4.3,3.6,4.3,0.8,3.5,4.7,4.8,4.4,,
2424,Chandra Bhagat Pharma,EBITDA Ann. margin %,-,-,,-,1.84%,3.01%,4.49%,1.12%,3.72%,4.38%,4.86%,4.87%,,
2425,Chandra Bhagat Pharma,Interest Ann.,-13.6%,-8.4%,,2,1.4,2.2,3.1,0.5,3.1,3.7,3.2,3.3,,
2426,Chandra Bhagat Pharma,Depr.,115.4%,-,,1,0.6,0.3,0.1,0,0,0.1,0.1,0.1,,
2427,Chandra Bhagat Pharma,PBT Ann.,2.9%,24.6%,,1.2,2.3,1.2,1.1,0.3,0.4,0.9,1.5,0.9,,
2428,Chandra Bhagat Pharma,Tax Ann.,0%,24.6%,,0.3,0.7,0.3,0.3,0.1,0.1,0.3,0.5,0.3,,
2429,Chandra Bhagat Pharma,PAT Before ExtraOrdinary Items Ann.,4%,24.6%,,0.9,1.5,0.9,0.8,0.2,0.3,0.6,1,0.7,,
2430,Chandra Bhagat Pharma,Minority Interest Income Ann.,-,-,,-,-,-,-,-,-,-,-,-,,
2431,Chandra Bhagat Pharma,Net Profit Ann.,4%,24.6%,,0.9,1.5,0.9,0.8,0.2,0.3,0.6,1,0.7,,
2432,Chandra Bhagat Pharma,NPM Ann. %,5.3%,24.3%,,0.98%,0.69%,0.75%,0.84%,0.26%,0.33%,0.58%,1.06%,0.73%,,
2433,Chandra Bhagat Pharma,EPS Adj. latest Ann.,0%,22.4%,,1.1,2,1.2,1.1,0.3,0.4,0.8,1.4,0.9,,
2434,Chandra Bhagat Pharma,Annual Reports, , ,, , , , , ,, , , ,,
2435,ICL Organic Dairy,Total Rev. Ann.,-7.7%,-21.1%,,,,3.7,3.5,3.6,4.7,15.7,12.1,2.5,,
2436,ICL Organic Dairy,Operating Rev. Ann.,-7.7%,-21.1%,,,,3.7,3.5,3.6,4.7,15.7,12.1,2.5,,
2437,ICL Organic Dairy,Other Income Ann.,-,-,,,,,,,,,,,,
2438,ICL Organic Dairy,Operating Exp. Ann.,-4.9%,-20.4%,,,,3.7,3.4,3.4,4.3,15.3,11.6,2.4,,
2439,ICL Organic Dairy,Operating Exp. Ann.,-4.9%,-20.4%,,,,3.7,3.4,3.4,4.3,15.3,11.6,2.4,,
2440,ICL Organic Dairy,Operating Profit Ann.,-,-,,,,0,0.1,0.2,0.4,0.4,0.5,0.1,,
2441,ICL Organic Dairy,OPM Ann. %,-53.5%,-26%,,,,0.88%,3.36%,4.87%,8.76%,2.48%,3.96%,2.91%,,
2442,ICL Organic Dairy,Total Exp. Ann.,-4.9%,-20.4%,,,,3.7,3.4,3.5,4.3,15.3,11.6,2.4,,
2443,ICL Organic Dairy,Other Exp. Ann.,-26.3%,-22.2%,,,,0.2,0.4,0.2,0.5,1.4,0.7,0.2,,
2444,ICL Organic Dairy,Employee Exp. Ann.,-37%,-24.2%,,,,0.1,0.1,0.1,0.4,0.8,0.4,0.4,,
2445,ICL Organic Dairy,Cost Of Power Purchased Ann.,-,-,,,,,,,,,,,,
2446,ICL Organic Dairy,Cost Of Fuel Ann.,-,-,,,,,,,,,,,,
2447,ICL Organic Dairy,EBITDA Ann.,-,-,,,,0,0.1,0.2,0.4,0.4,0.5,0.1,,
2448,ICL Organic Dairy,EBITDA Ann. margin %,-53.5%,-26%,,,,0.88%,3.36%,4.87%,8.76%,2.48%,3.96%,2.91%,,
2449,ICL Organic Dairy,Interest Ann.,-,-,,,,,0,0,0.1,0,,,,
2450,ICL Organic Dairy,Depr.,-,-,,,,,,,,,,,,
2451,ICL Organic Dairy,PBT Ann.,-,-,,,,0,0.1,0.1,0.4,0.4,0.5,0.1,,
2452,ICL Organic Dairy,Tax Ann.,-,-,,,,0,0,0,0.1,0.1,0.1,0,,
2453,ICL Organic Dairy,PAT Before ExtraOrdinary Items Ann.,-,-,,,,0,0.1,0.1,0.3,0.3,0.4,0.1,,
2454,ICL Organic Dairy,Minority Interest Income Ann.,-,-,,,,-,-,-,-,-,-,-,,
2455,ICL Organic Dairy,Net Profit Ann.,-,-,,,,0,0.1,0.1,0.3,0.3,0.4,0.1,,
2456,ICL Organic Dairy,NPM Ann. %,-52%,-26.3%,,,,0.63%,1.95%,2.87%,5.69%,1.75%,2.89%,2.00%,,
2457,ICL Organic Dairy,EPS Adj. latest Ann.,-,-,,,,0,0.1,0.2,0.4,0.5,0.6,0.1,,
2458,ICL Organic Dairy,Annual Reports, , ,,,, , , ,, , , ,,
2459,Janus Corporation,Total Rev. Ann.,27.2%,17.9%,,,38.9,36,24.1,18.9,28.1,17.1,25.2,12.8,,
2460,Janus Corporation,Operating Rev. Ann.,27.2%,17.9%,,,38.9,36,24.1,18.9,28,17.1,25.2,12.8,,
2461,Janus Corporation,Other Income Ann.,-,-,,,,,,,0.1,0,0,,,
2462,Janus Corporation,Operating Exp. Ann.,28.5%,18.9%,,,38.2,35.2,23.4,18,26.7,16.1,24.3,12.1,,
2463,Janus Corporation,Operating Exp. Ann.,28.5%,18.9%,,,38.2,35.2,23.4,18,26.7,16.1,24.3,12.1,,
2464,Janus Corporation,Operating Profit Ann.,-8%,-8.6%,,,0.7,0.7,0.7,0.9,1.4,1.1,0.9,0.8,,
2465,Janus Corporation,OPM Ann. %,-27.3%,-22.6%,,,1.74%,2.04%,2.89%,4.52%,4.85%,6.26%,3.53%,6.02%,,
2466,Janus Corporation,Total Exp. Ann.,28.7%,18.4%,,,38.4,35.5,23.8,18,26.7,16.5,24.8,12.2,,
2467,Janus Corporation,Other Exp. Ann.,26%,5.9%,,,0.4,0.4,0.5,0.2,0.3,0.3,0.2,0.2,,
2468,Janus Corporation,Employee Exp. Ann.,26%,14.9%,,,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,,
2469,Janus Corporation,Cost Of Power Purchased Ann.,-,-,,,,,,,,,,,,
2470,Janus Corporation,Cost Of Fuel Ann.,-,-,,,,,,,,,,,,
2471,Janus Corporation,EBITDA Ann.,-8%,-8.6%,,,0.7,0.7,0.7,0.9,1.4,1.1,0.9,0.8,,
2472,Janus Corporation,EBITDA Ann. margin %,-27.3%,-22.9%,,,1.74%,2.04%,2.89%,4.52%,5.02%,6.39%,3.56%,6.02%,,
2473,Janus Corporation,Interest Ann.,-,-,,,,,,,0,0,0,0,,
2474,Janus Corporation,Depr.,-,-12.9%,,,0.2,0.2,0.4,,,0.4,0.5,0.1,,
2475,Janus Corporation,PBT Ann.,-17.8%,-6.5%,,,0.5,0.5,0.3,0.9,1.1,0.7,0.4,0.6,,
2476,Janus Corporation,Tax Ann.,26%,0%,,,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,,
2477,Janus Corporation,PAT Before ExtraOrdinary Items Ann.,-17%,-4.4%,,,0.4,0.4,0.2,0.7,0.9,0.5,0.2,0.4,,
2478,Janus Corporation,Minority Interest Income Ann.,-,-,,,-,-,-,-,-,-,-,-,,
2479,Janus Corporation,Net Profit Ann.,-17%,-4.4%,,,0.4,0.4,0.2,0.7,0.9,0.5,0.2,0.4,,
2480,Janus Corporation,NPM Ann. %,-37.6%,-19.4%,,,0.95%,1.00%,0.94%,3.91%,3.16%,2.80%,0.87%,3.34%,,
2481,Janus Corporation,EPS Adj. latest Ann.,-12.6%,0%,,,0.2,0.2,0.1,0.3,0.4,0.2,0.1,0.2,,
2482,Janus Corporation,Result Notes, , ,,, ,Notes, , , , , , ,,
