,Company,Indicator,CAGR 3 Yrs,CAGR 5 Yrs,Mar '25,Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,Mar '17,Mar '16,Mar '15
23,Ujjivan Small Finance,Cash from Financing Act. Ann.,-,-12.5%,398.2,-518.7,"1,186.4","-1,483.8",-705.5,776,286.7,"-2,438.6","7,822.1",,
24,Ujjivan Small Finance,Net Cash Flow Ann.,41.8%,19.4%,633,209.6,150.5,222,594.7,261.1,616.6,-225.4,686.5,,
25,Ujjivan Small Finance,Cash Plus Cash Eqv. Begin Of Year Ann.,9.3%,18.6%,"2,524","2,313.7","2,163.2","1,933.5","1,338.8","1,077.7",461.1,686.5,,,
26,Ujjivan Small Finance,Cash Plus Cash Eqv. End Of Year Ann.,13.6%,18.7%,"3,157","2,524","2,313.7","2,155.5","1,933.5","1,338.8","1,077.7",461.1,686.5,,
27,Ascom Leasing,Cash from Operating Act. Ann.,-54.5%,-,0.5,-0.2,1.6,5.3,-2.1,-3.9,3.5,-3.6,-0.3,-5.4,
28,Ascom Leasing,PBT Ann.,1.5%,1.9%,6.8,6.6,6.6,6.5,6.4,6.2,6,4.9,0.7,0.1,
29,Ascom Leasing,Interest Ann.,0%,0%,0.7,0.2,0.2,0.7,0.5,0.7,0.5,0.2,0.1,0,
30,Ascom Leasing,Tax Ann.,2%,1.2%,1.7,1.7,1.7,1.6,1.6,1.6,1.7,0.5,0.2,0,
31,Ascom Leasing,Cash from Investing Act. Ann.,-,-,-0.5,-2.6,,-0.2,-0.1,-0.1,-0.2,-0,-0.3,,
32,Ascom Leasing,Cash from Financing Act. Ann.,-,-5.3%,4.2,1.9,-3.5,-3.8,-0.7,5.5,1.3,3.4,0.7,5.9,
33,Ascom Leasing,Net Cash Flow Ann.,47.8%,22.9%,4.2,-0.9,-2,1.3,-2.8,1.5,4.6,-0.2,0.1,0.5,
34,Ascom Leasing,Cash Plus Cash Eqv. Begin Of Year Ann.,-16.4%,-15.9%,2.1,2.9,4.9,3.6,6.5,5,0.4,0.6,0.5,0.1,
35,Ascom Leasing,Cash Plus Cash Eqv. End Of Year Ann.,8.7%,-0.6%,6.3,2.1,2.9,4.9,3.6,6.5,5,0.4,0.6,0.5,
36,CSB Bank,Cash from Operating Act. Ann.,-,-,"-5,255.5","1,783","2,211.5",-857.8,"1,373.8",-506.9,-893.2,26.8,395.5,-165.5,-356.2
37,CSB Bank,PBT Ann.,9.2%,42.9%,799.5,761.4,733.6,614.2,292.6,134,-300.1,-149.4,-8.9,-71.2,-82.2
38,CSB Bank,Interest Ann.,33.8%,18.2%,"2,121","1,451.1",985.8,885,930.9,917.6,907.6,912,"1,022.7","1,159.3","1,188.6"
39,CSB Bank,Tax Ann.,9.7%,11.1%,205.7,194.6,186.3,155.7,74.2,121.3,-102.7,-51.9,-10.5,78.6,-29
40,CSB Bank,Cash from Investing Act. Ann.,140.9%,-,"1,903.9","-1,439.2",-724.3,136.2,"-1,231.4",-43.7,-22.1,-17.8,-17,-12.7,-16.2
41,CSB Bank,Cash from Financing Act. Ann.,86.8%,49%,"3,788.9",974.4,"-1,224.2",581.3,632.4,516.3,673.9,-5.1,106.4,105.9,96.7
42,CSB Bank,Net Cash Flow Ann.,-,-,437.3,"1,318.2",263,-140.3,774.7,-34.3,-241.5,4,484.9,-72.3,-275.7
43,CSB Bank,Cash Plus Cash Eqv. Begin Of Year Ann.,22.6%,26.5%,"3,154.9","1,836.7","1,573.8","1,714.1",939.3,973.6,"1,215.1","1,211.2",726.3,798.6,"1,074.3"
44,CSB Bank,Cash Plus Cash Eqv. End Of Year Ann.,31.7%,30.8%,"3,592.2","3,154.9","1,836.7","1,573.8","1,714.1",939.3,973.6,"1,215.1","1,211.2",726.3,798.6
45,Mangalam Global,Cash from Operating Act. Ann.,-,-,-29.2,65.3,-78.7,-37.9,-32.6,-28.1,-49.1,0.6,-0.2,,
46,Mangalam Global,PBT Ann.,79.4%,43.7%,30,21.3,15,5.2,7,4.9,3,0.3,0.1,0,
47,Mangalam Global,Interest Ann.,42.1%,39.2%,26.7,23.9,12.1,9.3,5.3,5.1,2.7,0,,0,
48,Mangalam Global,Tax Ann.,85.5%,49.8%,8.3,2.4,3.1,1.3,1.7,1.1,0.8,,0,,
49,Mangalam Global,Cash from Investing Act. Ann.,-40.3%,-,4.8,0.8,-38.6,22.6,-11.7,-8.9,-9.5,-1.6,-3.2,,
50,Mangalam Global,Cash from Financing Act. Ann.,17.7%,-8.3%,24.3,-65.9,117.3,14.9,44.1,37.5,58.6,1,3.4,,
51,Mangalam Global,Net Cash Flow Ann.,-,-,-0.1,0.2,-0,-0.4,-0.1,0.6,-0.1,-0,0,,
52,Mangalam Global,Cash Plus Cash Eqv. Begin Of Year Ann.,-26.3%,-,0.2,0.1,0.1,0.5,0.6,0,0.1,0.1,0.1,,
53,Mangalam Global,Cash Plus Cash Eqv. End Of Year Ann.,0%,-30.1%,0.1,0.2,0.1,0.1,0.5,0.6,0,0.1,0.1,,
54,Goblin,Cash from Operating Act. Ann.,-,-,7.7,-0.8,1.4,-7.7,-2.6,-7.9,-1.8,2.6,-0.5,0.9,
55,Goblin,PBT Ann.,-,-7.2%,2,1.5,1.4,-1.9,-1.9,2.9,2.8,2.4,0.6,0.5,
56,Goblin,Interest Ann.,1.6%,1%,2.1,2.6,3,2,2.5,2,2.5,1.8,1.6,1.9,
57,Goblin,Tax Ann.,81.7%,-3%,0.6,-0.2,0.1,0.1,0,0.7,0.8,0.7,0.2,0.2,
58,Goblin,Cash from Investing Act. Ann.,97.2%,-,2.3,-0.5,-3,0.3,0,-3.3,-0.9,-0,-0.1,-0.8,
59,Goblin,Cash from Financing Act. Ann.,-,-,-9.6,1.3,1.6,7.5,1.9,11.6,2.2,-2.2,0.7,0,
60,Goblin,Net Cash Flow Ann.,-,0%,0.4,-0,0,-0,-0.7,0.4,-0.5,0.4,0,0.2,
61,Goblin,Cash Plus Cash Eqv. Begin Of Year Ann.,-20.6%,-27.5%,0.1,0.1,0.1,0.2,0.9,0.5,0.9,0.5,0.5,0.3,
62,Goblin,Cash Plus Cash Eqv. End Of Year Ann.,71%,-11.1%,0.5,0.1,0.1,0.1,0.2,0.9,0.5,0.9,0.5,0.5,
63,Vishwaraj Sugar,Cash from Operating Act. Ann.,12.7%,0.6%,50.4,145.7,52.1,35.2,55.9,49,25.1,-54.6,61.7,30,25.5
64,Vishwaraj Sugar,PBT Ann.,-,-,-31.1,22.3,25.6,47.2,12.2,-16.5,-23.9,-0.9,10.5,7.3,-0.1
