,Company,Issue type,LTP,Market Cap(in CR),Listing date,Issue size,Issue price,QIB subscription,HNI subscription,Retail subscription,Total subscription,Listing open,Listing close,Listing gain,Current gain
225,Garuda Construction and Engineering Ltd.,MainBoard,121.5,1130.7,15 Oct `24,264.1 Cr,₹ 95,1.2x,9.0x,10.8x,7.5x,105.0,106.8,10.5%,27.9%
226,Diffusion Engineers Ltd.,MainBoard,303.4,1135.3,04 Oct `24,158.0 Cr,₹ 168,95.7x,207.6x,85.6x,114.5x,193.5,203.2,15.2%,80.6%
227,KRN Heat Exchanger and Refrigeration Ltd.,MainBoard,932.5,5796.1,03 Oct `24,341.5 Cr,₹ 220,253.0x,431.6x,98.3x,214.4x,480.0,478.8,118.2%,323.9%
228,Manba Finance Ltd.,MainBoard,142.0,713.4,30 Sep `24,150.8 Cr,₹ 120,148.6x,511.6x,144.0x,224.1x,145.0,157.4,20.8%,18.3%
229,Arkade Developers Ltd.,MainBoard,207.0,3842.9,24 Sep `24,410.0 Cr,₹ 128,163.2x,163.0x,51.4x,106.8x,175.0,165.9,36.7%,61.7%
230,Northern Arc Capital,MainBoard,247.2,3989.3,24 Sep `24,777.0 Cr,₹ 263,240.8x,142.4x,31.1x,110.9x,350.0,323.4,33.1%,-6.0%
231,Western Carriers (India) Ltd.,MainBoard,110.6,1127.5,24 Sep `24,492.9 Cr,₹ 172,28.0x,44.7x,25.9x,30.6x,171.0,159.4,-0.6%,-35.7%
232,P N Gadgil Jewellers Ltd.,MainBoard,607.9,8249.7,17 Sep `24,1100.0 Cr,₹ 480,136.8x,56.1x,16.6x,59.4x,830.0,793.3,72.9%,26.6%
233,Kross Ltd.,MainBoard,192.9,1244.1,16 Sep `24,500.0 Cr,₹ 240,23.3x,22.2x,10.8x,16.8x,240.0,259.8,0.0%,-19.6%
234,Tolins Tyres Ltd.,MainBoard,167.6,662.0,16 Sep `24,230.0 Cr,₹ 226,25.4x,27.4x,21.5x,23.9x,228.0,239.4,0.9%,-25.9%
235,Bajaj Housing Finance Ltd.,MainBoard,121.0,100821.2,16 Sep `24,6560.0 Cr,₹ 70,209.4x,41.5x,7.0x,63.6x,150.0,165.0,114.3%,72.9%
236,Shree Tirupati Balajee Agro Trading Company Ltd.,MainBoard,46.1,376.4,12 Sep `24,169.7 Cr,₹ 83,60.8x,102.3x,33.0x,55.8x,90.0,94.5,8.4%,-44.4%
237,Gala Precision,MainBoard,856.0,1088.4,09 Sep `24,167.9 Cr,₹ 529,232.5x,414.6x,92.0x,201.4x,721.1,757.1,36.3%,61.8%
238,Baazar Style Retail,MainBoard,288.1,2150.1,06 Sep `24,834.7 Cr,₹ 389,81.8x,59.4x,9.1x,40.7x,389.0,400.0,0.0%,-25.9%
239,Ecos Mobility ,MainBoard,297.4,1784.4,04 Sep `24,601.2 Cr,₹ 334,136.8x,71.2x,19.8x,64.3x,390.0,443.1,16.8%,-11.0%
240,Premier Energies,MainBoard,1035.4,46673.2,03 Sep `24,2830.4 Cr,₹ 450,216.7x,50.0x,7.7x,74.4x,990.0,839.9,120.0%,130.1%
241,Orient Technologies,MainBoard,352.4,1467.7,28 Aug `24,214.8 Cr,₹ 206,189.9x,300.6x,66.8x,151.7x,288.0,302.4,39.8%,71.1%
242,Interarch Building,MainBoard,2321.3,3862.7,26 Aug `24,600.3 Cr,₹ 900,205.4x,128.4x,19.1x,93.5x,1299.0,1195.7,44.3%,157.9%
243,Saraswati Saree Depot,MainBoard,97.3,385.4,20 Aug `24,160.0 Cr,₹ 160,64.1x,358.5x,61.6x,107.4x,194.0,203.7,21.3%,-39.2%
244,Unicommerce eSolutions,MainBoard,122.0,1259.8,13 Aug `24,276.6 Cr,₹ 108,138.8x,252.5x,131.0x,168.3x,235.0,210.1,117.6%,13.0%
245,Brainbees Solutions,MainBoard,370.4,19325.8,13 Aug `24,4193.7 Cr,₹ 465,19.3x,4.7x,2.3x,12.2x,651.0,679.1,40.0%,-20.4%
246,Ola Electric ,MainBoard,41.4,18260.8,09 Aug `24,6145.6 Cr,₹ 76,5.3x,2.4x,3.9x,4.3x,76.0,91.2,0.0%,-45.5%
247,Ceigall,MainBoard,274.2,4776.7,08 Aug `24,1252.7 Cr,₹ 401,31.5x,14.4x,3.8x,13.8x,419.0,386.8,4.5%,-31.6%
248,Akums Drugs & Pharma,MainBoard,568.9,8954.1,06 Aug `24,1856.7 Cr,₹ 679,90.1x,42.2x,21.3x,63.6x,725.0,796.3,6.8%,-16.2%
249,Sanstar,MainBoard,99.4,1811.1,26 Jul `24,510.1 Cr,₹ 95,145.7x,136.5x,24.2x,83.0x,109.0,115.1,14.7%,4.6%
250,Emcure Pharma,MainBoard,1244.1,23576.7,10 Jul `24,1952.0 Cr,₹ 1008,195.8x,48.3x,7.2x,67.9x,1325.0,1359.2,31.4%,23.4%
251,Bansal Wire ,MainBoard,386.0,6043.1,10 Jul `24,745.0 Cr,₹ 256,146.1x,51.5x,13.6x,59.6x,356.0,350.4,39.1%,50.8%
252,Vraj Iron & Steel,MainBoard,174.3,574.9,03 Jul `24,171.0 Cr,₹ 207,163.9x,208.8x,54.9x,119.0x,240.0,252.0,15.9%,-15.8%
253,Allied Blenders,MainBoard,433.1,12114.2,02 Jul `24,1500.0 Cr,₹ 281,50.4x,32.4x,4.5x,23.6x,320.0,317.9,13.9%,54.1%
254,Stanley Lifestyles,MainBoard,324.3,1852.0,28 Jun `24,537.0 Cr,₹ 369,222.1x,119.5x,19.2x,97.0x,494.9,474.8,34.1%,-12.1%
255,Akme Fintrade,MainBoard,7.3,313.7,26 Jun `24,132.0 Cr,₹ 120,28.1x,130.3x,45.8x,55.1x,127.0,133.3,5.8%,-38.8%
256,DEE Development,MainBoard,312.9,2163.4,26 Jun `24,418.0 Cr,₹ 203,201.9x,144.0x,23.4x,99.6x,325.0,335.0,60.1%,54.2%
257,LE Travenues Tech,MainBoard,172.0,6712.2,18 Jun `24,740.1 Cr,₹ 93,106.7x,110.5x,54.7x,98.3x,138.1,165.7,48.5%,84.9%
258,Kronox Lab Sciences,MainBoard,204.2,757.5,10 Jun `24,130.2 Cr,₹ 136,89.0x,303.0x,55.7x,118.2x,164.9,159.3,21.3%,50.1%
259,Awfis Space Solutions,MainBoard,629.8,4489.8,30 May `24,598.9 Cr,₹ 383,117.0x,129.8x,54.6x,108.6x,435.0,421.8,13.6%,64.4%
260,Go Digit Insurance ,MainBoard,331.6,30586.2,23 May `24,2615.0 Cr,₹ 272,12.6x,7.2x,4.3x,9.6x,286.0,306.0,5.2%,21.9%
261,TBO Tek,MainBoard,1398.0,15180.6,15 May `24,1550.8 Cr,₹ 920,125.5x,50.6x,25.7x,86.7x,1426.0,1406.3,55.0%,52.0%
262,Aadhar Housing ,MainBoard,455.3,19671.7,15 May `24,3000.0 Cr,₹ 315,72.8x,16.5x,2.5x,25.5x,315.0,329.4,0.0%,44.5%
263,Indegene,MainBoard,568.5,13645.7,13 May `24,1841.8 Cr,₹ 452,197.6x,55.1x,8.0x,69.9x,655.0,570.9,44.9%,25.8%
264,JNK,MainBoard,327.4,1831.9,30 Apr `24,649.5 Cr,₹ 415,75.7x,23.3x,4.1x,28.1x,621.0,694.5,49.6%,-21.1%
265,Vodafone Idea,MainBoard,7.3,79523.8,25 Apr `24,18000.0 Cr,₹ 11,17.6x,4.1x,0.9x,6.4x,11.8,13.1,7.3%,-33.3%
266,Bharti Hexacom,MainBoard,1841.3,92065.0,12 Apr `24,4275.0 Cr,₹ 570,48.6x,10.5x,2.8x,29.9x,755.0,813.3,32.5%,223.0%
267,SRM Contractors,MainBoard,480.4,1102.2,03 Apr `24,130.2 Cr,₹ 210,59.6x,214.9x,47.0x,86.6x,215.3,226.0,2.5%,128.8%
268,Krystal Integrated ,MainBoard,625.3,873.7,21 Mar `24,300.1 Cr,₹ 715,7.3x,43.9x,3.3x,13.2x,785.0,712.9,9.8%,-12.6%
269,Popular Vehicles ,MainBoard,130.2,926.8,19 Mar `24,601.5 Cr,₹ 295,2.0x,0.7x,1.1x,1.2x,289.2,276.1,-2.0%,-55.9%
270,Gopal Snacks,MainBoard,356.7,4445.3,14 Mar `24,650.0 Cr,₹ 401,17.5x,9.5x,4.0x,9.0x,351.0,362.7,-12.5%,-11.1%
271,J G Chemicals,MainBoard,522.2,2046.3,13 Mar `24,251.2 Cr,₹ 221,32.1x,46.3x,17.4x,27.8x,209.0,184.8,-5.4%,136.3%
272,R K Swamy,MainBoard,177.0,893.2,12 Mar `24,423.6 Cr,₹ 288,20.6x,34.4x,34.0x,25.9x,250.0,262.6,-13.2%,-38.6%
273,Bharat Highways InvIT,MainBoard,114.0,4979.2,12 Mar `24,2500.0 Cr,₹ 100,8.9x,6.9x,-,8.0x,101.1,103.0,1.1%,14.0%
274,Mukka Proteins,MainBoard,29.9,895.8,07 Mar `24,224.0 Cr,₹ 28,189.3x,250.4x,58.5x,137.0x,40.0,42.3,42.9%,6.6%
275,Platinum Industries,MainBoard,271.5,1491.2,05 Mar `24,235.3 Cr,₹ 171,151.0x,141.8x,51.0x,99.0x,225.0,221.2,31.6%,58.8%
276,Exicom Tele-Systems,MainBoard,188.3,2277.9,05 Mar `24,424.1 Cr,₹ 142,121.8x,153.2x,119.6x,129.5x,265.0,224.9,86.6%,32.6%
277,GPT Healthcare,MainBoard,159.4,1307.9,29 Feb `24,525.1 Cr,₹ 186,17.3x,11.0x,2.4x,8.5x,215.0,200.7,15.6%,-14.3%
278,Juniper Hotels,MainBoard,293.9,6538.2,28 Feb `24,1800.0 Cr,₹ 360,3.0x,0.8x,1.3x,2.1x,365.0,401.5,1.4%,-18.4%
279,Vibhor Steel Tubes,MainBoard,183.2,347.4,20 Feb `24,72.2 Cr,₹ 151,178.7x,721.3x,188.2x,298.9x,425.0,446.3,181.5%,21.3%
280,Entero Healthcare ,MainBoard,1202.9,5233.7,16 Feb `24,1600.0 Cr,₹ 1258,2.3x,0.2x,1.3x,1.5x,1228.7,1149.5,-2.3%,-4.4%
281,Rashi Peripherals,MainBoard,296.0,1950.6,14 Feb `24,600.0 Cr,₹ 311,143.7x,62.8x,10.4x,59.7x,339.5,321.5,9.2%,-4.8%
282,Jana Small Finance,MainBoard,489.6,5150.0,14 Feb `24,570.0 Cr,₹ 414,38.8x,25.1x,5.5x,18.5x,396.0,368.1,-4.3%,18.3%
283,Capital Small Finance ,MainBoard,281.6,1274.4,14 Feb `24,523.1 Cr,₹ 468,6.6x,4.0x,2.5x,4.0x,430.3,435.0,-8.1%,-39.8%
284,Apeejay Surrendra,MainBoard,157.9,3368.8,12 Feb `24,920.0 Cr,₹ 155,75.1x,52.4x,30.4x,59.7x,186.0,203.6,20.0%,1.9%
285,BLS E-Services,MainBoard,191.1,1736.5,06 Feb `24,310.9 Cr,₹ 135,123.3x,300.1x,237.0x,162.5x,305.0,366.0,125.9%,41.6%
286,Nova Agritech,MainBoard,51.5,476.8,31 Jan `24,143.8 Cr,₹ 41,79.3x,224.1x,77.1x,109.4x,55.0,57.8,34.1%,25.7%
287,EPACK Durables,MainBoard,344.8,3308.5,30 Jan `24,640.0 Cr,₹ 230,25.5x,28.1x,6.3x,16.4x,221.0,207.6,-3.9%,49.9%
288,Medi Assist Healthcare,MainBoard,521.6,3679.3,23 Jan `24,1171.6 Cr,₹ 418,40.1x,14.8x,3.2x,16.3x,460.0,464.1,10.1%,24.8%
289,Jyoti CNC Automation,MainBoard,1031.0,23447.3,16 Jan `24,1000.0 Cr,₹ 331,44.1x,36.5x,26.2x,38.5x,370.0,434.2,11.8%,211.5%
290,Indogulf Cropsciences,MainBoard,105.0,663.9,03 Jul `25,200.0 Cr,₹ 111,33.3x,48.4x,14.8x,26.0x,111.0,110.3,0.0%,-5.4%
291,Sambhv Steel Tubes,MainBoard,100.2,2951.1,02 Jul `25,540.0 Cr,₹ 82,62.3x,31.8x,8.0x,28.5x,110.0,97.6,34.1%,22.1%
292,HDB Financial Services,MainBoard,847.5,70309.9,02 Jul `25,12500.0 Cr,₹ 740,55.5x,10.0x,1.4x,16.7x,835.0,841.0,12.8%,14.5%
293,Kalpataru,MainBoard,419.9,8646.3,01 Jul `25,1590.0 Cr,₹ 414,3.1x,1.3x,1.3x,2.3x,414.0,432.9,0.0%,1.4%
294,Ellenbarrie Industrial Gases,MainBoard,541.9,7637.3,01 Jul `25,852.5 Cr,₹ 400,64.2x,15.2x,2.1x,22.2x,486.0,534.6,21.5%,35.5%
295,Globe Civil Projects,MainBoard,77.3,461.7,01 Jul `25,119.0 Cr,₹ 71,99.8x,143.2x,53.7x,86.0x,90.0,94.5,26.8%,8.9%
296,Arisinfra Solutions,MainBoard,164.7,1334.9,25 Jun `25,499.6 Cr,₹ 222,1.4x,3.1x,5.6x,2.6x,205.0,174.4,-7.7%,-25.8%
297,Oswal Pumps,MainBoard,708.4,8074.2,20 Jun `25,1387.3 Cr,₹ 614,88.1x,36.7x,3.6x,34.4x,634.0,625.4,3.3%,15.4%
298,Scoda Tubes,MainBoard,198.4,1188.5,04 Jun `25,220.0 Cr,₹ 140,69.5x,113.0x,19.4x,53.8x,140.0,147.0,0.0%,41.7%
299,Prostarm Info Systems,MainBoard,153.1,901.4,03 Jun `25,168.0 Cr,₹ 105,104.5x,222.1x,39.5x,97.2x,120.0,126.0,14.3%,45.8%
300,Schloss Bangalore,MainBoard,405.0,13525.3,02 Jun `25,3500.0 Cr,₹ 435,7.5x,1.0x,0.8x,4.5x,406.0,435.6,-6.7%,-6.9%
301,Aegis Vopak Terminals,MainBoard,251.5,27869.3,02 Jun `25,2800.0 Cr,₹ 235,3.3x,0.6x,0.8x,2.1x,220.0,242.0,-6.4%,7.0%
302,Belrise Industries,MainBoard,102.7,9134.6,28 May `25,2150.0 Cr,₹ 90,108.3x,38.3x,4.3x,41.3x,100.0,97.4,11.1%,14.1%
303,Borana Weaves,MainBoard,222.6,593.2,27 May `25,144.9 Cr,₹ 216,87.2x,237.4x,200.5x,148.8x,243.0,255.2,12.5%,3.1%
304,Ather Energy,MainBoard,330.7,12317.2,06 May `25,2980.8 Cr,₹ 321,1.7x,0.7x,1.8x,1.4x,328.0,302.3,2.2%,3.0%
305,Quality Power Electrical,MainBoard,736.8,5706.1,24 Feb `25,858.7 Cr,₹ 425,1.0x,1.4x,1.8x,1.3x,430.0,387.9,1.2%,73.4%
306,Hexaware Technologies,MainBoard,866.1,52734.1,19 Feb `25,8750.0 Cr,₹ 708,9.1x,0.2x,0.1x,2.7x,745.5,762.5,5.3%,22.3%
307,Ajax Engineering,MainBoard,679.3,7771.1,17 Feb `25,1269.3 Cr,₹ 629,14.4x,6.5x,1.9x,6.5x,576.0,595.4,-8.4%,8.0%
308,Dr Agarwals Health Care,MainBoard,423.5,13389.3,04 Feb `25,3027.3 Cr,₹ 402,4.6x,0.4x,0.4x,1.6x,402.0,401.6,0.0%,5.3%
309,Denta Water and Infra,MainBoard,286.1,764.0,29 Jan `25,220.5 Cr,₹ 294,236.9x,507.3x,90.6x,221.7x,325.0,341.3,10.5%,-2.7%
310,Stallion India Fluorochemicals Ltd.,MainBoard,92.0,730.0,23 Jan `25,199.4 Cr,₹ 90,172.9x,422.4x,96.9x,188.4x,120.0,126.0,33.3%,2.3%
311,Laxmi Dental,MainBoard,422.2,2320.5,20 Jan `25,698.1 Cr,₹ 428,110.4x,147.9x,76.2x,114.4x,542.0,550.5,26.6%,-1.4%
312,Capital Infra Trust,MainBoard,77.8,2142.6,17 Jan `25,1578.0 Cr,₹ 100,0.7x,9.2x,-,2.8x,99.0,99.0,-1.0%,-22.2%
313,Quadrant Future Tek,MainBoard,465.4,1861.6,14 Jan `25,290.0 Cr,₹ 290,132.5x,254.7x,246.9x,186.7x,370.0,444.0,27.6%,60.5%
314,Standard Glass Lining,MainBoard,168.5,3361.2,13 Jan `25,410.1 Cr,₹ 140,331.6x,268.5x,65.0x,183.2x,172.0,163.3,22.9%,20.4%
315,Indo Farm Equipment,MainBoard,178.6,858.2,07 Jan `25,260.1 Cr,₹ 215,242.4x,503.8x,104.9x,229.7x,256.0,273.7,19.1%,-16.9%
