,Company,Issue type,LTP,Market Cap(in CR),Listing date,Issue size,Issue price,QIB subscription,HNI subscription,Retail subscription,Total subscription,Listing open,Listing close,Listing gain,Current gain
117,Syrma SGS Technology,MainBoard,611.0,10884.6,26 Aug `22,840.0 Cr,₹ 220,87.6x,17.5x,5.5x,32.6x,260.0,310.5,18.2%,177.7%
118,Aether Industries,MainBoard,790.0,10474.6,03 Jun `22,808.0 Cr,₹ 642,17.6x,2.5x,1.1x,6.3x,704.0,774.4,9.7%,23.1%
119,eMudhra,MainBoard,751.8,6225.8,01 Jun `22,412.8 Cr,₹ 256,4.0x,1.3x,2.6x,2.7x,270.0,257.9,5.5%,193.7%
120,Ethos,MainBoard,2700.4,7225.6,30 May `22,472.3 Cr,₹ 878,1.1x,1.5x,0.8x,1.0x,825.0,803.1,-6.0%,207.6%
121,Paradeep Phosphates,MainBoard,159.0,12964.2,27 May `22,1501.7 Cr,₹ 42,3.0x,0.8x,1.4x,1.8x,44.0,43.9,4.8%,278.6%
122,Venus Pipes & Tubes,MainBoard,1479.0,3030.8,24 May `22,165.4 Cr,₹ 326,12.0x,15.7x,19.0x,16.3x,337.5,354.4,3.5%,353.7%
123,Delhivery,MainBoard,392.8,29310.3,24 May `22,5235.0 Cr,₹ 487,2.7x,0.3x,0.6x,1.6x,495.2,536.4,1.7%,-19.4%
124,Prudent Corporate ,MainBoard,2653.3,10986.4,20 May `22,538.6 Cr,₹ 630,1.3x,1.0x,1.3x,1.2x,650.0,561.8,3.2%,321.2%
125,Life Insurance Corp,MainBoard,944.1,597143.0,17 May `22,21000.0 Cr,₹ 949,2.8x,2.9x,2.0x,3.0x,872.0,875.3,-8.1%,-0.5%
126,Rainbow Childrens Medicare,MainBoard,1560.1,15843.1,10 May `22,1580.8 Cr,₹ 542,38.9x,3.7x,1.4x,12.4x,510.0,450.1,-5.9%,187.8%
127,Campus Activewear,MainBoard,273.1,8342.0,09 May `22,1400.1 Cr,₹ 292,152.0x,22.3x,7.7x,51.8x,360.0,378.6,23.3%,-6.5%
128,Le Merite Exports,MainBoard,314.8,764.9,09 May `22,48.0 Cr,₹ 74.99,-,2.9x,9.9x,6.4x,75.0,78.8,0.0%,319.8%
129,Hariom Pipe ,MainBoard,421.8,1306.2,13 Apr `22,130.1 Cr,₹ 153,1.9x,8.9x,12.2x,7.9x,214.0,224.7,39.9%,175.7%
130,Uma Exports,MainBoard,50.0,169.0,07 Apr `22,60.0 Cr,₹ 68,2.8x,2.2x,10.1x,7.7x,80.0,84.0,17.6%,-26.5%
131,Veranda Learning ,MainBoard,233.0,1783.5,07 Apr `22,200.0 Cr,₹ 137,2.0x,3.9x,10.8x,3.5x,171.0,160.4,24.8%,70.1%
132,Global Longlife Hospital,MainBoard,26.2,27.5,05 Apr `22,49.0 Cr,₹ 140,-,1.6x,1.4x,1.5x,141.1,135.3,0.8%,-81.3%
133,Shashwat Furnishing ,MainBoard,55.3,11.5,05 Apr `22,2.5 Cr,₹ 44.99,-,2.4x,6.8x,4.6x,45.0,45.3,0.0%,22.8%
134,Vedant Fashions,MainBoard,820.1,19925.5,16 Feb `22,3149.2 Cr,₹ 866,7.5x,1.1x,0.4x,2.6x,950.0,934.9,9.7%,-5.3%
135,Adani Wilmar,MainBoard,256.8,33369.2,08 Feb `22,3600.0 Cr,₹ 230,5.7x,56.3x,3.9x,17.4x,274.0,265.2,19.1%,11.6%
136,AGS Transact Tech,MainBoard,5.9,75.6,31 Jan `22,680.0 Cr,₹ 175,2.7x,25.6x,3.1x,7.8x,176.0,161.3,0.6%,-96.6%
137,Innova Captab,MainBoard,853.1,4882.1,29 Dec `23,570.0 Cr,₹ 448,116.7x,65.0x,17.1x,55.3x,452.1,541.4,0.9%,90.4%
138,Azad Engineering,MainBoard,1621.9,10474.5,28 Dec `23,740.0 Cr,₹ 524,179.7x,87.6x,23.8x,80.7x,720.0,677.5,37.4%,209.5%
139,RBZ Jewellers,MainBoard,142.0,568.0,27 Dec `23,100.0 Cr,₹ 100,13.4x,9.3x,24.7x,16.9x,100.0,105.0,0.0%,42.0%
140,Credo Brands ,MainBoard,166.5,1088.4,27 Dec `23,549.8 Cr,₹ 280,105.0x,55.5x,19.9x,51.9x,282.4,312.2,0.8%,-40.5%
141,Happy Forgings,MainBoard,957.5,9027.9,27 Dec `23,1008.6 Cr,₹ 850,220.5x,62.2x,15.1x,82.0x,1000.0,1030.8,17.6%,12.7%
142,Motisons Jewellers,MainBoard,22.3,2194.4,26 Dec `23,151.1 Cr,₹ 55,157.4x,233.9x,122.3x,159.6x,109.0,103.5,98.2%,305.3%
143,Muthoot Microfin,MainBoard,150.8,2570.9,26 Dec `23,960.0 Cr,₹ 291,17.5x,13.2x,7.6x,11.5x,275.3,266.1,-5.4%,-48.2%
144,Suraj Estate ,MainBoard,344.1,1643.9,26 Dec `23,400.0 Cr,₹ 360,24.3x,18.9x,9.3x,15.7x,340.0,334.5,-5.6%,-4.4%
145,Inox,MainBoard,1239.6,11251.0,21 Dec `23,1459.3 Cr,₹ 660,147.8x,53.2x,15.3x,61.3x,949.6,940.0,43.9%,87.8%
