,Company,Issue type,LTP,Market Cap(in CR),Listing date,Issue size,Issue price,QIB subscription,HNI subscription,Retail subscription,Total subscription,Listing open,Listing close,Listing gain,Current gain
626,Atmastco,SME,226.6,560.5,23 Feb `24,56.3 Cr,₹ 77,-,14.4x,18.4x,16.4x,91.0,95.5,18.2%,194.3%
627,Wise Travel,SME,147.1,350.3,19 Feb `24,94.7 Cr,₹ 147,54.6x,481.4x,139.1x,148.2x,195.0,204.8,32.6%,0.1%
628,Polysil Irrigation ,SME,80.8,182.0,16 Feb `24,17.4 Cr,₹ 54,-,2.1x,11.0x,6.6x,56.0,54.3,3.7%,49.7%
629,Alpex Solar,SME,1124.0,2750.8,15 Feb `24,74.5 Cr,₹ 115,75.2x,668.1x,467.6x,301.4x,329.0,345.4,186.1%,877.4%
630,Rudra Gas Enterprise,SME,108.0,90.1,15 Feb `24,14.2 Cr,₹ 63,-,281.9x,383.5x,332.7x,119.7,125.7,90.0%,71.4%
631,Italian Edibles,SME,37.0,54.7,12 Feb `24,26.7 Cr,₹ 68,-,168.4x,114.5x,141.4x,55.0,57.8,-19.1%,-45.6%
632,Gabriel Pet Straps,SME,242.0,135.5,07 Feb `24,8.1 Cr,₹ 101,-,349.0x,116.1x,232.6x,115.0,120.8,13.9%,139.6%
633,Baweja Studios,SME,51.5,95.0,06 Feb `24,97.2 Cr,₹ 180,0.2x,3.6x,5.4x,2.5x,183.0,173.8,1.7%,-71.4%
634,Megatherm Induction,SME,333.6,628.6,05 Feb `24,53.9 Cr,₹ 108,55.8x,408.5x,266.3x,182.4x,198.0,207.9,83.3%,208.9%
635,Mayank Cattle Food,SME,234.7,126.7,05 Feb `24,19.4 Cr,₹ 108,-,5.7x,11.2x,8.4x,116.0,120.0,7.4%,117.3%
636,Harshdeep Hortico,SME,92.3,148.5,05 Feb `24,19.1 Cr,₹ 45,54.2x,134.4x,98.3x,96.4x,70.0,66.5,55.6%,105.0%
637,Fonebox Retail,SME,80.0,82.1,02 Feb `24,20.4 Cr,₹ 70,74.0x,1091.7x,1178.7x,613.3x,200.0,210.0,185.7%,14.3%
638,delaPlex,SME,148.0,134.8,02 Feb `24,46.1 Cr,₹ 192,48.2x,445.6x,212.2x,165.2x,309.0,324.4,60.9%,-22.9%
639,DocMode Health ,SME,52.0,16.3,02 Feb `24,6.7 Cr,₹ 79,-,185.1x,218.7x,201.9x,190.3,180.8,140.8%,-34.2%
640,Brisk Technovision,SME,105.0,21.0,31 Jan `24,12.5 Cr,₹ 156,-,55.5x,34.1x,44.8x,175.0,183.8,12.2%,-32.7%
641,Konstelec Engineers,SME,69.7,105.2,30 Jan `24,28.7 Cr,₹ 70,60.4x,561.5x,581.3x,317.9x,210.0,220.5,200.0%,-0.4%
642,Addictive Learning,SME,141.3,224.7,30 Jan `24,60.2 Cr,₹ 140,59.5x,533.7x,387.3x,245.3x,310.0,294.5,121.4%,0.9%
643,Euphoria Infotech,SME,50.9,14.8,30 Jan `24,9.6 Cr,₹ 100,413.3x,238.0x,426.6x,364.7x,190.0,181.5,90.0%,-49.1%
644,Qualitek Labs,SME,302.0,301.4,29 Jan `24,19.6 Cr,₹ 100,-,74.8x,37.2x,56.0x,190.0,199.5,90.0%,202.0%
645,Maxposure,SME,52.0,118.3,23 Jan `24,20.3 Cr,₹ 33,83.4x,2574.0x,1363.1x,904.9x,145.0,137.8,339.4%,57.6%
646,Shree Marutinandan Tubes,SME,136.6,47.2,19 Jan `24,14.3 Cr,₹ 143,-,33.0x,56.7x,44.9x,200.0,210.0,39.9%,-4.5%
647,Australian Premium Solar,SME,544.9,1094.7,18 Jan `24,28.1 Cr,₹ 54,56.9x,1028.2x,711.9x,431.8x,140.0,147.0,159.3%,909.1%
648,New Swan Multitech,SME,68.2,129.6,18 Jan `24,33.1 Cr,₹ 66,110.7x,544.8x,388.2x,356.9x,125.4,131.7,90.0%,3.3%
649,IBL Finance,SME,64.2,158.6,16 Jan `24,33.4 Cr,₹ 51,-,9.6x,22.8x,16.2x,56.0,58.8,9.8%,25.8%
650,Kaushalya Logistics,SME,85.0,157.5,08 Jan `24,36.6 Cr,₹ 75,51.3x,1110.0x,491.4x,364.2x,100.0,105.0,33.3%,13.3%
651,Kay Cee Energy ,SME,360.9,441.1,05 Jan `24,15.9 Cr,₹ 54,66.0x,2184.5x,1711.0x,959.5x,252.0,239.4,366.7%,568.2%
652,Akanksha Power,SME,100.0,195.8,03 Jan `24,27.5 Cr,₹ 55,20.4x,316.8x,146.3x,108.9x,62.0,65.1,12.7%,81.8%
653,HRH Next Services,SME,41.3,54.5,03 Jan `24,9.6 Cr,₹ 36,-,63.7x,60.3x,62.0x,41.0,43.0,13.9%,14.6%
654,Shri Balaji Valve ,SME,128.6,104.9,03 Jan `24,21.6 Cr,₹ 100,70.0x,800.1x,169.9x,276.5x,190.0,199.5,90.0%,28.6%
655,Manoj Ceramic,SME,164.9,245.8,03 Jan `24,14.5 Cr,₹ 62,-,7.0x,10.2x,8.6x,82.0,77.9,32.3%,166.0%
656,AIK Pipes ,SME,73.5,46.8,02 Jan `24,15.0 Cr,₹ 89,-,53.5x,29.4x,41.4x,100.0,105.0,12.4%,-17.4%
657,Sameera Agro ,SME,28.8,171.2,01 Jan `24,62.6 Cr,₹ 180,-,1.7x,3.9x,2.8x,180.0,171.0,0.0%,-20.1%
658,Cedaar Textile,SME,113.0,156.9,07 Jul `25,60.9 Cr,₹ 140,10.8x,12.6x,11.4x,11.3x,119.0,-,-15.0%,-19.3%
659,Silky Overseas,SME,162.4,72.5,07 Jul `25,30.7 Cr,₹ 161,28.1x,481.6x,133.1x,132.8x,171.0,-,6.2%,0.9%
660,Pushpa Jewellers,SME,117.6,284.9,07 Jul `25,98.7 Cr,₹ 147,0.9x,3.2x,4.1x,2.4x,112.0,-,-23.8%,-20.0%
661,Marc Loire Fashions,SME,76.0,54.0,07 Jul `25,21.0 Cr,₹ 100,-,1.6x,3.4x,2.5x,80.0,-,-20.0%,-24.0%
662,Vandan Foods,SME,118.8,99.6,07 Jul `25,30.4 Cr,₹ 115,-,0.5x,2.9x,1.7x,125.0,-,8.7%,3.3%
663,Neetu Yoshi,SME,115.8,449.3,04 Jul `25,77.0 Cr,₹ 75,51.2x,341.6x,121.0x,119.2x,105.0,110.3,40.0%,54.4%
664,Adcounty Media,SME,142.5,320.6,04 Jul `25,50.7 Cr,₹ 85,72.2x,732.4x,302.1x,251.7x,130.0,136.5,52.9%,67.7%
665,Ace Alpha Tech,SME,93.8,164.6,03 Jul `25,32.2 Cr,₹ 69,35.2x,225.5x,121.0x,93.8x,81.0,85.0,17.4%,35.9%
666,PRO FX Tech,SME,102.5,179.4,03 Jul `25,40.3 Cr,₹ 87,11.7x,75.2x,18.7x,23.6x,95.0,99.8,9.2%,17.8%
667,Valencia,SME,75.5,98.1,03 Jul `25,49.0 Cr,₹ 110,1.2x,1.3x,1.3x,1.3x,88.0,83.6,-20.0%,-31.4%
668,Moving Media Entertainment,SME,74.3,139.6,03 Jul `25,43.4 Cr,₹ 70,21.7x,126.0x,60.1x,50.8x,71.0,74.5,1.4%,6.1%
669,Suntech Infra Solutions,SME,95.0,183.9,02 Jul `25,44.4 Cr,₹ 86,65.2x,704.0x,199.4x,208.0x,109.1,103.8,26.9%,10.5%
670,Supertech EV,SME,60.0,74.1,02 Jul `25,29.9 Cr,₹ 92,0.9x,2.1x,6.7x,4.2x,73.6,69.9,-20.0%,-34.8%
671,Rama Telecom,SME,64.8,85.5,02 Jul `25,25.1 Cr,₹ 68,0.4x,2.8x,2.7x,1.6x,72.0,68.4,5.9%,-4.7%
672,AJC Jewel Manufacturers,SME,88.0,53.4,01 Jul `25,15.4 Cr,₹ 95,1.9x,2.9x,3.8x,2.7x,99.0,95.4,4.2%,-7.4%
673,Shri HareKrishna Sponge Iron,SME,67.5,129.5,01 Jul `25,29.9 Cr,₹ 59,5.8x,13.9x,4.1x,6.4x,64.8,64.5,9.8%,14.4%
674,Icon Facilitators,SME,69.7,54.7,01 Jul `25,19.1 Cr,₹ 91,0.2x,3.1x,5.3x,2.4x,90.0,85.5,-1.1%,-23.4%
675,Abram Food,SME,86.7,44.7,01 Jul `25,14.0 Cr,₹ 98,-,33.3x,21.0x,27.1x,90.4,94.9,-7.8%,-11.5%
676,Mayasheel Ventures,SME,56.4,124.3,27 Jun `25,27.3 Cr,₹ 47,52.1x,951.4x,136.3x,216.5x,58.0,60.9,23.4%,19.9%
677,Safe Enterprises Retail,SME,183.5,855.2,27 Jun `25,169.7 Cr,₹ 138,18.2x,17.1x,5.9x,13.7x,151.0,158.6,9.4%,33.0%
678,Aakaar Medical Technologies,SME,65.0,92.1,27 Jun `25,27.0 Cr,₹ 72,1.9x,2.4x,2.6x,2.2x,75.0,71.3,4.2%,-9.7%
679,Influx Healthtech,SME,137.9,319.2,25 Jun `25,58.6 Cr,₹ 96,73.2x,639.8x,156.4x,187.3x,132.5,126.2,38.0%,43.6%
680,Eppeltone Engineers,SME,234.0,303.2,24 Jun `25,44.0 Cr,₹ 128,70.2x,834.8x,329.5x,275.7x,243.2,255.3,90.0%,82.8%
681,Samay Project Services,SME,32.3,49.6,23 Jun `25,14.7 Cr,₹ 34,11.6x,94.5x,20.1x,27.0x,36.0,36.0,6.0%,-5.0%
682,Patil Automation,SME,213.5,465.9,23 Jun `25,69.6 Cr,₹ 120,44.0x,343.4x,59.5x,94.3x,155.0,162.8,29.2%,77.9%
683,Aten Papers and Foam,SME,43.7,45.0,20 Jun `25,31.7 Cr,₹ 96,0.3x,2.3x,2.8x,1.5x,90.0,85.5,-6.3%,-54.5%
684,Monolithisch India,SME,334.5,727.1,19 Jun `25,82.0 Cr,₹ 143,68.7x,611.9x,125.8x,170.1x,231.6,243.1,61.9%,133.9%
685,Jainik Power Cables,SME,73.5,105.5,17 Jun `25,51.3 Cr,₹ 110,0.2x,3.6x,2.5x,1.5x,82.0,82.8,-25.4%,-33.2%
686,Sacheerome,SME,158.0,353.5,16 Jun `25,61.6 Cr,₹ 102,91.9x,1075.3x,239.6x,291.1x,153.0,160.6,50.0%,54.9%
687,Ganga Bath Fittings,SME,30.9,68.7,11 Jun `25,32.6 Cr,₹ 49,2.1x,0.8x,2.4x,1.6x,59.0,56.0,20.4%,-36.8%
688,3B Films,SME,25.9,72.4,06 Jun `25,33.8 Cr,₹ 50,-,0.9x,2.6x,1.8x,48.5,46.1,-3.0%,-48.2%
689,Neptune Petrochemicals,SME,142.7,323.2,04 Jun `25,73.2 Cr,₹ 122,3.8x,13.4x,-,3.9x,132.8,139.3,8.8%,16.9%
690,N R Vandana Tex Industries,SME,40.0,93.1,04 Jun `25,27.9 Cr,₹ 45,19.4x,561.9x,-,94.0x,45.0,43.7,0.0%,-11.2%
691,Blue Water Logistics,SME,154.0,169.4,03 Jun `25,40.5 Cr,₹ 135,7.3x,13.8x,8.7x,8.8x,141.0,148.1,4.4%,14.1%
692,Nikita Papers,SME,91.5,225.8,03 Jun `25,67.5 Cr,₹ 104,0.6x,2.7x,2.0x,1.4x,90.0,90.5,-13.5%,-12.0%
693,Astonea Labs,SME,143.6,150.9,03 Jun `25,37.7 Cr,₹ 135,0.9x,7.9x,2.2x,2.4x,137.4,135.7,1.8%,6.4%
694,Unified Data Tech Solutions,SME,311.2,625.2,29 May `25,144.5 Cr,₹ 273,44.5x,282.6x,57.9x,84.9x,285.0,299.3,4.4%,14.0%
695,Dar Credit Capital,SME,59.2,84.5,28 May `25,25.7 Cr,₹ 60,16.6x,277.5x,139.3x,98.7x,65.2,64.0,8.6%,-1.3%
696,Accretion Pharmaceuticals,SME,66.5,73.9,21 May `25,29.8 Cr,₹ 101,1.3x,13.1x,13.5x,7.3x,79.0,83.0,-21.8%,-34.2%
697,Integrity Infrabuild,SME,101.0,43.5,20 May `25,12.0 Cr,₹ 100,-,2.1x,2.1x,2.1x,100.8,103.5,0.8%,1.1%
698,Virtual Galaxy Infotech,SME,166.3,413.4,19 May `25,93.3 Cr,₹ 142,68.2x,790.8x,178.1x,215.1x,180.0,189.0,26.8%,17.1%
699,Manoj Jewellers,SME,54.5,49.0,12 May `25,16.2 Cr,₹ 54,-,1.3x,1.0x,1.1x,54.0,53.8,-0.1%,0.9%
700,Srigee DLM,SME,301.7,180.2,12 May `25,17.0 Cr,₹ 99,72.8x,2046.7x,324.1x,456.8x,188.1,197.5,90.0%,204.8%
701,Kenrik Industries,SME,14.6,18.2,09 May `25,8.8 Cr,₹ 25,-,0.3x,3.6x,1.9x,25.0,26.3,0.0%,-41.6%
702,Arunaya Organics,SME,25.5,44.7,07 May `25,34.0 Cr,₹ 58,1.0x,1.5x,4.1x,2.5x,30.1,31.6,-48.1%,-56.0%
703,Iware Supplychain Services,SME,86.0,92.2,06 May `25,27.1 Cr,₹ 95,-,2.6x,3.1x,2.9x,85.0,80.9,-10.5%,-9.5%
704,Tankup Engineers,SME,330.4,175.0,30 Apr `25,19.5 Cr,₹ 140,22.3x,560.9x,59.6x,116.2x,175.0,183.8,25.0%,136.0%
705,Infonative Solutions,SME,32.8,38.8,08 Apr `25,24.7 Cr,₹ 79,1.9x,3.6x,8.2x,4.3x,63.2,60.0,-20.0%,-58.5%
706,Spinaroo Commercial,SME,66.8,46.8,08 Apr `25,10.2 Cr,₹ 51,-,1.8x,1.1x,1.5x,52.9,54.4,3.6%,31.1%
707,Retaggio Industries,SME,20.3,31.6,07 Apr `25,15.5 Cr,₹ 25,-,1.2x,2.3x,1.8x,25.1,25.2,0.4%,-18.7%
708,Identixweb,SME,62.0,64.7,03 Apr `25,16.6 Cr,₹ 54,5.9x,98.2x,19.1x,24.4x,55.0,57.8,1.9%,14.8%
709,Shri Ahimsa Naturals,SME,150.0,350.0,02 Apr `25,73.8 Cr,₹ 119,11.2x,242.8x,46.8x,58.4x,140.0,147.0,17.6%,26.1%
710,ATC Energies System,SME,79.5,162.1,02 Apr `25,63.8 Cr,₹ 118,0.4x,2.6x,2.9x,1.6x,107.0,101.7,-9.3%,-32.6%
711,Desco Infratech,SME,229.5,176.2,01 Apr `25,30.8 Cr,₹ 150,15.1x,310.9x,67.4x,77.7x,160.0,168.0,6.7%,53.0%
712,Active Infrastructures,SME,170.0,255.3,28 Mar `25,77.8 Cr,₹ 181,0.1x,4.8x,0.8x,1.1x,181.0,175.6,0.0%,-6.1%
713,Rapid Fleet Management,SME,194.0,144.2,28 Mar `25,43.9 Cr,₹ 192,0.5x,6.3x,0.9x,1.5x,195.0,200.9,1.6%,1.0%
714,Grand Continent Hotels,SME,170.0,423.6,27 Mar `25,74.5 Cr,₹ 113,1.6x,2.3x,1.8x,1.7x,112.9,107.3,-0.1%,50.4%
715,Divine Hira Jewellers,SME,56.4,73.6,24 Mar `25,31.8 Cr,₹ 90,-,1.2x,6.3x,3.8x,90.0,85.5,0.0%,-37.3%
716,Paradeep Parivahan,SME,125.1,199.1,24 Mar `25,44.9 Cr,₹ 98,0.6x,4.3x,1.9x,1.6x,78.4,82.3,-20.0%,27.6%
717,Super Iron Foundry,SME,34.0,79.5,19 Mar `25,68.0 Cr,₹ 108,-,1.4x,1.7x,1.5x,108.0,102.6,-0.1%,-68.5%
718,PDP Shipping & Projects,SME,80.0,23.8,18 Mar `25,12.7 Cr,₹ 135,-,0.2x,1.8x,1.0x,108.3,102.8,-19.8%,-40.7%
719,NAPS Global,SME,42.3,18.8,11 Mar `25,11.9 Cr,₹ 90,-,0.8x,1.5x,1.2x,108.0,102.6,20.0%,-53.0%
720,Balaji Phosphates,SME,143.0,340.0,07 Mar `25,50.1 Cr,₹ 70,0.9x,1.6x,1.1x,1.2x,75.0,74.3,7.1%,104.3%
721,Shreenath Paper Products,SME,25.0,49.1,05 Mar `25,23.4 Cr,₹ 44,-,0.6x,3.0x,1.8x,35.2,33.4,-20.0%,-43.2%
722,Nukleus Office Solutions,SME,171.0,68.9,04 Mar `25,31.7 Cr,₹ 234,-,0.7x,1.4x,1.0x,187.2,196.6,-20.0%,-26.9%
723,Beezaasan Explotech,SME,235.0,303.6,03 Mar `25,59.9 Cr,₹ 175,6.1x,6.7x,3.0x,5.1x,146.0,153.3,-16.6%,34.3%
724,HP Telecom,SME,197.8,235.7,28 Feb `25,34.2 Cr,₹ 108,-,2.0x,1.8x,1.9x,115.0,115.0,6.5%,83.2%
725,Swasth Foodtech,SME,33.9,19.9,28 Feb `25,14.9 Cr,₹ 94,-,2.5x,12.5x,7.5x,94.0,89.3,0.0%,-63.9%
726,Royal Arc Electrodes,SME,140.0,155.4,24 Feb `25,36.0 Cr,₹ 120,0.5x,1.7x,2.9x,1.6x,120.0,121.3,0.0%,16.7%
727,Tejas Cargo,SME,208.0,497.0,24 Feb `25,105.8 Cr,₹ 168,0.7x,1.9x,1.4x,1.1x,175.0,168.0,4.2%,23.8%
728,LK Mehta Polymers,SME,51.3,19.7,21 Feb `25,7.4 Cr,₹ 71,-,40.7x,43.8x,42.3x,71.1,68.3,0.1%,-27.8%
729,Shanmuga Hospital,SME,42.0,57.2,21 Feb `25,20.6 Cr,₹ 54,-,0.7x,4.2x,2.4x,54.0,51.3,0.0%,-22.2%
730,P S Raj Steels,SME,151.0,113.8,19 Feb `25,28.3 Cr,₹ 140,0.6x,28.6x,13.1x,9.2x,145.0,150.6,3.6%,7.9%
731,Voler Car,SME,91.9,102.4,19 Feb `25,27.0 Cr,₹ 90,4.8x,24.6x,18.0x,12.4x,90.0,91.5,0.0%,2.1%
732,Maxvolt Energy Industries,SME,248.9,271.5,19 Feb `25,54.0 Cr,₹ 180,3.6x,2.4x,2.6x,3.1x,180.0,180.9,0.0%,38.3%
733,Chandan Healthcare,SME,198.8,486.1,17 Feb `25,107.4 Cr,₹ 159,3.8x,24.3x,3.1x,6.6x,165.1,173.3,3.8%,25.0%
734,Eleganz Interiors,SME,124.0,280.2,14 Feb `25,78.1 Cr,₹ 130,13.0x,80.8x,28.5x,28.6x,122.0,116.0,-6.2%,-4.6%
735,Readymix Construction,SME,115.0,126.1,13 Feb `25,37.7 Cr,₹ 123,2.7x,6.8x,5.7x,4.3x,123.0,116.8,0.0%,-6.5%
736,Solarium Green Energy,SME,447.9,933.9,13 Feb `25,105.0 Cr,₹ 191,4.5x,24.4x,6.7x,8.3x,202.0,211.9,5.8%,134.5%
737,Ken Enterprises,SME,38.3,94.1,12 Feb `25,83.7 Cr,₹ 94,-,1.8x,6.5x,4.1x,85.0,80.8,-9.6%,-59.3%
738,Amwill Health Care,SME,67.1,134.2,12 Feb `25,60.0 Cr,₹ 111,7.4x,5.5x,4.5x,5.5x,88.8,93.3,-19.9%,-39.6%
739,Chamunda Electrical,SME,44.8,49.3,11 Feb `25,14.6 Cr,₹ 50,82.0x,2558.0x,729.3x,680.0x,70.0,66.5,40.0%,-10.4%
740,Malpani Pipes And Fittings Ltd.,SME,72.5,78.1,04 Feb `25,25.9 Cr,₹ 90,31.4x,458.0x,150.1x,136.9x,85.9,84.0,-4.6%,-19.4%
741,GB Logistics Commerce Ltd.,SME,54.9,45.0,31 Jan `25,25.1 Cr,₹ 102,14.3x,722.7x,162.1x,172.3x,81.6,81.8,-20.0%,-46.2%
742,H.M. Electro Mech,SME,68.0,93.2,31 Jan `25,27.7 Cr,₹ 75,9.5x,245.2x,129.8x,87.0x,81.0,77.0,8.0%,-9.3%
743,CLN Energy Ltd.,SME,582.8,615.0,30 Jan `25,72.3 Cr,₹ 250,0.6x,11.9x,8.7x,5.1x,256.0,254.2,2.4%,133.1%
744,Rexpro Enterprises,SME,84.7,94.9,29 Jan `25,53.6 Cr,₹ 145,-,7.9x,25.9x,16.9x,117.0,111.2,-19.3%,-41.6%
745,CapitalNumbers Infotech Ltd.,SME,138.2,337.5,27 Jan `25,169.4 Cr,₹ 263,64.8x,394.9x,95.5x,125.0x,274.0,261.4,4.2%,-47.5%
746,EMA Partners India Ltd.,SME,99.7,231.8,24 Jan `25,76.0 Cr,₹ 124,78.4x,590.7x,222.4x,205.7x,156.5,148.7,26.2%,-19.6%
747,Landmark Immigration Consultants Ltd.,SME,62.0,127.9,23 Jan `25,40.3 Cr,₹ 72,18.5x,156.3x,102.6x,68.6x,75.0,75.1,4.2%,-13.8%
748,Kabra Jewels,SME,117.7,123.4,22 Jan `25,40.0 Cr,₹ 128,77.0x,695.8x,479.8x,310.8x,243.2,255.3,90.0%,-8.1%
749,Rikhav Securities Ltd.,SME,62.0,237.4,22 Jan `25,88.8 Cr,₹ 86,90.2x,821.5x,334.3x,285.3x,163.4,171.6,90.0%,-27.9%
750,Barflex Polyfilms,SME,66.8,165.2,20 Jan `25,39.4 Cr,₹ 60,41.5x,495.3x,130.6x,140.8x,60.0,63.0,0.0%,11.3%
751,Sat Kartar Shopping,SME,174.0,274.0,17 Jan `25,33.8 Cr,₹ 81,67.2x,1069.0x,348.7x,316.0x,153.9,161.6,90.0%,114.8%
752,Avax Apparels and Ornaments Ltd.,SME,132.8,13.8,14 Jan `25,1.9 Cr,₹ 70,-,133.4x,360.9x,247.2x,133.0,139.7,90.0%,89.6%
753,Delta Autocorp,SME,68.0,104.0,14 Jan `25,54.6 Cr,₹ 130,92.1x,806.9x,405.5x,309.0x,175.0,167.3,34.6%,-47.7%
754,B.R.Goyal Infra,SME,121.0,288.3,14 Jan `25,85.2 Cr,₹ 135,36.8x,338.8x,116.2x,109.9x,135.8,142.5,0.6%,-10.4%
755,Indobell Insulation Ltd.,SME,110.0,69.3,13 Jan `25,10.1 Cr,₹ 46,-,48.8x,54.1x,51.5x,87.4,91.8,90.0%,139.1%
756,Fabtech Technologies Cleanrooms Ltd.,SME,385.0,474.3,10 Jan `25,27.7 Cr,₹ 85,119.0x,1974.4x,950.1x,688.2x,161.5,169.6,90.0%,352.9%
757,Davin Sons Retail Ltd.,SME,21.3,11.2,09 Jan `25,8.8 Cr,₹ 55,-,73.1x,156.5x,114.8x,44.0,46.2,-20.0%,-61.2%
758,Parmeshwar Metal Ltd.,SME,64.0,98.0,09 Jan `25,24.7 Cr,₹ 61,94.1x,1597.6x,792.4x,564.0x,84.5,88.7,38.5%,4.9%
759,Leo Dryfruits & Spices Trading Ltd.,SME,73.1,130.8,08 Jan `25,25.1 Cr,₹ 52,35.6x,525.7x,207.0x,169.1x,68.0,71.4,30.8%,40.6%
760,Technichem Organics Ltd.,SME,45.1,78.2,07 Jan `25,25.3 Cr,₹ 55,53.5x,1425.0x,434.6x,392.6x,57.3,60.1,4.1%,-17.9%
761,Citichem India Ltd.,SME,27.3,18.5,03 Jan `25,12.6 Cr,₹ 70,-,263.8x,522.7x,393.2x,70.0,68.3,0.0%,-61.1%
762,Anya Polytech Fertilizers,SME,26.9,322.8,02 Jan `25,44.8 Cr,₹ 14,80.1x,1463.9x,427.5x,409.3x,17.1,17.9,22.1%,92.1%
