,Company,Indicator,CAGR 3 Yrs,CAGR 5 Yrs,Mar '25,Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,Mar '17,Mar '16,Mar '15
3561,Fino Payments Bank,Total Debt to Total Equity Ann.,30.1%,4.1%,1.1,1.1,0.8,0.5,1.2,0.9,0.5,,,,
3562,Nidan Laboratories,BVSH Ann.,1.2%,34.6%,49.1,47.6,50,47.4,13.5,11.1,10.4,10.2,,,
3563,Nidan Laboratories,RoA Ann. %,-7.4%,8.5%,2.38%,-3.91%,4.19%,3.00%,4.28%,1.58%,0.51%,0.48%,,,
3564,Nidan Laboratories,ROE Ann. %,-10.6%,-14.9%,2.89%,-4.88%,5.09%,4.04%,17.27%,6.48%,2.16%,2.10%,,,
3565,Nidan Laboratories,ROCE Ann. %,-10.8%,-7.3%,6.74%,8.87%,9.39%,9.49%,24.54%,9.82%,11.71%,8.90%,,,
3566,Nidan Laboratories,Profitability Ratio, , , , , , , , , , ,,,
3567,Nidan Laboratories,EBITDA Ann. Margin %,-3.4%,-2.9%,29.81%,38.01%,41.75%,33.09%,48.81%,34.46%,39.84%,39.46%,,,
3568,Nidan Laboratories,EBIT Ann. Margin %,-6.2%,-0.1%,19.99%,26.15%,28.99%,24.22%,33.19%,20.09%,24.14%,18.88%,,,
3569,Nidan Laboratories,PBT Ann. Margin %,-9.6%,28.4%,11.25%,-9.79%,19.82%,15.24%,16.20%,3.22%,1.08%,1.04%,,,
3570,Nidan Laboratories,NPM Ann. %,-3.5%,20.1%,8.05%,-13.36%,14.58%,8.97%,11.29%,3.22%,1.08%,1.04%,,,
3571,Nidan Laboratories,Asset Turnover Ann. %,-9.1%,-9.7%,0.3,0.3,0.3,0.4,0.4,0.5,0.5,-,,,
3572,Nidan Laboratories,Liquidity Ratio, , , , , , , , , , ,,,
3573,Nidan Laboratories,Current Ratio Ann.,-16.7%,-,1.1,2.7,2.2,1.9,0.9,-142.1,33.1,17.7,,,
3574,Nidan Laboratories,Quick Ratio Ann.,-19.3%,-,1,2.7,2.2,1.9,0.9,-141.6,33,17.6,,,
3575,Nidan Laboratories,Dividend Payout to NP Ann.,-,-,-,-,-,-,-,-,-,-,,,
3576,Nidan Laboratories,Earning Retention Ann. %,-,-,-,,,,,,,,,,
3577,Nidan Laboratories,Cash Earning Retention Ann. %,-,-,-,,,,,,,,,,
3578,Nidan Laboratories,Cash Earning Retention Ann. %,-,-,-,,,,,,,,,,
3579,Nidan Laboratories,Valuation Ratio, , , , , , , , , , ,,,
3580,Nidan Laboratories,EnterpriseValue Ann.,-17.5%,-,32.2,47.2,49.6,57.3,,,,,,,
3581,Nidan Laboratories,EV Per Net Sales Ann.,-11.9%,-,1.3,2,2,1.9,-,-,-,-,,,
3582,Nidan Laboratories,,-24.6%,-,0.3,0.6,0.7,0.7,-,-,-,-,,,
3583,Nidan Laboratories,EV Per EBITDA Ann.,-8.8%,-,4.4,5.1,4.9,5.8,-,-,-,-,,,
3584,Nidan Laboratories,Market Cap Per Sales Ann.,-17.5%,-,0.9,1.6,1.9,1.6,-,-,-,-,,,
3585,Nidan Laboratories,Retention Ratio Ann. %,-,-,-,,,,,,,,,,
3586,Nidan Laboratories,Earnings Yield Ann.,0%,-,0.1,-0.1,0.1,0.1,,,,,,,
3587,Nidan Laboratories,Total Debt to Total Equity Ann.,-12.6%,-42.2%,0.2,0.2,0.2,0.3,2.9,3.1,3.1,3.3,,,
3588,FSN E-Commerce,BVSH Ann.,-43.8%,-54.2%,5.8,5.7,5.8,32.7,372.5,287.8,,,,,
3589,FSN E-Commerce,RoA Ann. %,-5.6%,11.3%,5.15%,6.46%,3.43%,6.12%,5.59%,3.02%,,,,,
3590,FSN E-Commerce,ROE Ann. %,-4.2%,10.3%,5.86%,7.19%,3.71%,6.67%,6.45%,3.59%,,,,,
3591,FSN E-Commerce,ROCE Ann. %,-7.9%,0.1%,6.26%,5.88%,5.20%,8.02%,8.46%,6.24%,,,,,
3592,FSN E-Commerce,Profitability Ratio, , , , , , , , ,,,,,
3593,FSN E-Commerce,EBITDA Ann. Margin %,-26.7%,9%,27.80%,40.55%,43.68%,70.46%,39.34%,18.08%,,,,,
3594,FSN E-Commerce,EBIT Ann. Margin %,-28.3%,12.1%,25.05%,37.55%,40.44%,67.96%,33.56%,14.14%,,,,,
3595,FSN E-Commerce,PBT Ann. Margin %,-29%,14.9%,23.16%,34.88%,37.01%,64.83%,30.74%,11.59%,,,,,
3596,FSN E-Commerce,NPM Ann. %,-25.1%,23.6%,23.18%,45.39%,28.14%,55.14%,24.81%,8.03%,,,,,
3597,FSN E-Commerce,Asset Turnover Ann. %,0%,-,0.2,0.1,0.1,0.2,0.3,-,,,,,
3598,FSN E-Commerce,Liquidity Ratio, , , , , , , , ,,,,,
3599,FSN E-Commerce,Current Ratio Ann.,-40.5%,-11.1%,2,4.1,11.3,9.5,4.6,3.6,,,,,
3600,FSN E-Commerce,Quick Ratio Ann.,-43.3%,-11.2%,1.6,3.6,10.8,8.8,4.1,2.9,,,,,
3601,FSN E-Commerce,Dividend Payout to NP Ann.,-,-,,,,,,-,,,,,
3602,FSN E-Commerce,Earning Retention Ann. %,-,-,-,,,,,,,,,,
3603,FSN E-Commerce,Cash Earning Retention Ann. %,-,-,-,,,,,,,,,,
3604,FSN E-Commerce,Cash Earning Retention Ann. %,-,-,-,,,,,,,,,,
3605,FSN E-Commerce,Valuation Ratio, , , , , , , , ,,,,,
3606,FSN E-Commerce,EnterpriseValue Ann.,-13.8%,-,"51,242.9","46,274.7","35,097.2","79,881.1",,,,,,,
3607,FSN E-Commerce,EV Per Net Sales Ann.,-34.1%,-,122,179.4,161.1,425.6,-,-,,,,,
3608,FSN E-Commerce,,-15.8%,-,30.9,28.4,21.3,51.7,-,-,,,,,
3609,FSN E-Commerce,EV Per EBITDA Ann.,-10.1%,-,438.8,442.4,368.9,604,-,-,,,,,
3610,FSN E-Commerce,Market Cap Per Sales Ann.,-34.1%,-,121.9,179.3,161.2,426.6,-,-,,,,,
3611,FSN E-Commerce,Retention Ratio Ann. %,-,-,-,,,,,,,,,,
3612,FSN E-Commerce,Earnings Yield Ann.,-,-,,,,,,,,,,,
3613,FSN E-Commerce,Total Debt to Total Equity Ann.,-,0%,0.1,0.1,0,0,0,0.1,,,,,
3614,Kotyark Industries,BVSH Ann.,62.8%,44.3%,139,140.3,65,32.2,33.1,22.2,17.2,,,,
3615,Kotyark Industries,RoA Ann. %,-38.8%,19.9%,6.28%,10.34%,15.62%,27.43%,5.79%,2.53%,6.81%,,,,
3616,Kotyark Industries,ROE Ann. %,-32.8%,-15.4%,9.86%,15.42%,20.20%,32.44%,32.79%,22.69%,34.92%,,,,
3617,Kotyark Industries,ROCE Ann. %,-26.7%,11.1%,16.00%,21.17%,25.16%,40.64%,15.61%,9.47%,16.70%,,,,
3618,Kotyark Industries,Profitability Ratio, , , , , , , , , ,,,,
3619,Kotyark Industries,EBITDA Ann. Margin %,21.9%,14.8%,15.11%,16.77%,15.72%,8.34%,4.58%,7.57%,2.22%,,,,
3620,Kotyark Industries,EBIT Ann. Margin %,8.1%,16.2%,9.73%,13.72%,14.90%,7.70%,3.23%,4.59%,1.97%,,,,
3621,Kotyark Industries,PBT Ann. Margin %,-2%,21.4%,6.97%,11.30%,13.66%,7.41%,2.13%,2.64%,1.97%,,,,
3622,Kotyark Industries,NPM Ann. %,-3.6%,21.4%,4.96%,8.20%,10.09%,5.53%,1.60%,1.88%,1.53%,,,,
3623,Kotyark Industries,Asset Turnover Ann. %,-40.9%,-7.3%,1.3,1.9,2.2,6.3,3.5,1.9,-,,,,
3624,Kotyark Industries,Liquidity Ratio, , , , , , , , , ,,,,
3625,Kotyark Industries,Current Ratio Ann.,-39.7%,7.7%,2.9,3.4,5.6,13.2,2.6,2,0.8,,,,
3626,Kotyark Industries,Quick Ratio Ann.,-64.2%,-16.7%,0.4,1.2,2.3,8.7,1,1,0.4,,,,
3627,Kotyark Industries,Dividend Payout to NP Ann.,-,-,-,-,-,-,-,-,-,,,,
3628,Kotyark Industries,Earning Retention Ann. %,-,-,-,80.37%,85.57%,,,,,,,,
3629,Kotyark Industries,Cash Earning Retention Ann. %,-,-,-,85.69%,86.65%,,,,,,,,
3630,Kotyark Industries,Cash Earning Retention Ann. %,-,-,-,85.69%,86.65%,,,,,,,,
3631,Kotyark Industries,Valuation Ratio, , , , , , , , , ,,,,
3632,Kotyark Industries,EnterpriseValue Ann.,8.7%,-,377.9,"1,305.1",277.1,294.3,,,,,,,
3633,Kotyark Industries,EV Per Net Sales Ann.,-11.9%,-,1.3,4.8,2.4,1.9,-,-,-,,,,
3634,Kotyark Industries,,-41.3%,-,2.2,8.6,4.6,10.9,-,-,-,,,,
3635,Kotyark Industries,EV Per EBITDA Ann.,-27%,-,8.8,28.7,15.5,22.6,-,-,-,,,,
3636,Kotyark Industries,Market Cap Per Sales Ann.,-16.7%,-,1.1,4.6,2.3,1.9,-,-,-,,,,
3637,Kotyark Industries,Retention Ratio Ann. %,-,-,-,80.36%,85.56%,,,,,,,,
3638,Kotyark Industries,Earnings Yield Ann.,-,-,0,0,0,0,,,,,,,
3639,Kotyark Industries,Total Debt to Total Equity Ann.,58.7%,-42.4%,0.4,0.4,0.2,0.1,4.3,6.3,1.7,,,,
3640,Dynamic Services,BVSH Ann.,19.7%,-45.2%,57.8,58.1,40.9,33.7,"2,206.6","1,168",12.3,,,,
3641,Dynamic Services,RoA Ann. %,32.8%,249.3%,5.20%,7.34%,11.13%,2.22%,1.46%,0.01%,0.01%,,,,
3642,Dynamic Services,ROE Ann. %,24%,47.4%,9.04%,10.72%,17.52%,4.74%,47.06%,1.30%,69.90%,,,,
3643,Dynamic Services,ROCE Ann. %,11.7%,198.6%,14.25%,18.15%,24.58%,10.23%,15.46%,0.06%,0.05%,,,,
3644,Dynamic Services,Profitability Ratio, , , , , , , , , ,,,,
3645,Dynamic Services,EBITDA Ann. Margin %,22.3%,24.3%,14.64%,14.81%,20.90%,8.00%,6.68%,4.93%,3.46%,,,,
3646,Dynamic Services,EBIT Ann. Margin %,23.9%,25.8%,14.51%,14.66%,20.47%,7.63%,6.28%,4.60%,2.72%,,,,
3647,Dynamic Services,PBT Ann. Margin %,41.4%,19.8%,11.37%,11.68%,16.64%,4.02%,2.00%,4.60%,2.72%,,,,
3648,Dynamic Services,NPM Ann. %,38.6%,19.7%,8.04%,8.19%,13.23%,3.02%,1.48%,3.27%,2.01%,,,,
3649,Dynamic Services,Asset Turnover Ann. %,0%,-,0.9,1,0.8,0.9,0.9,0,-,,,,
3650,Dynamic Services,Liquidity Ratio, , , , , , , , , ,,,,
3651,Dynamic Services,Current Ratio Ann.,-7.2%,1.3%,1.6,2.1,2.6,2,1.5,1.5,1.6,,,,
3652,Dynamic Services,Quick Ratio Ann.,-7.2%,1.3%,1.6,2.1,2.5,2,1.5,1.5,1.6,,,,
3653,Dynamic Services,Dividend Payout to NP Ann.,-,-,-,-,-,-,-,-,-,,,,
3654,Dynamic Services,Earning Retention Ann. %,-,-,-,,,,,,,,,,
3655,Dynamic Services,Cash Earning Retention Ann. %,-,-,-,,,,,,,,,,
3656,Dynamic Services,Cash Earning Retention Ann. %,-,-,-,,,,,,,,,,
3657,Dynamic Services,Valuation Ratio, , , , , , , , , ,,,,
3658,Dynamic Services,EnterpriseValue Ann.,119.8%,-,389.6,177.9,37.6,36.7,,,,,,,
3659,Dynamic Services,EV Per Net Sales Ann.,75.4%,-,2.7,1.7,0.5,0.5,-,-,-,,,,
3660,Dynamic Services,,71%,-,2.5,1.9,0.5,0.5,-,-,-,,,,
3661,Dynamic Services,EV Per EBITDA Ann.,41.7%,-,18.2,11.5,2.5,6.4,-,-,-,,,,
3662,Dynamic Services,Market Cap Per Sales Ann.,94.3%,-,2.2,1.5,0.4,0.3,-,-,-,,,,
3663,Dynamic Services,Retention Ratio Ann. %,-,-,-,,,,,,,,,,
3664,Dynamic Services,Earnings Yield Ann.,-,-,0,0.1,0.4,0.1,,,,,,,
3665,Dynamic Services,Total Debt to Total Equity Ann.,6.3%,-58%,0.6,0.3,0.3,0.5,22.4,45.8,"2,518.9",,,,
3666,Destiny Logistics & Infra,BVSH Ann.,-2.2%,7.7%,20.3,18.6,17.2,21.7,20,14,13,,,,
3667,Destiny Logistics & Infra,RoA Ann. %,-5.8%,7.4%,4.04%,3.91%,5.10%,4.84%,4.58%,2.83%,2.65%,,,,
3668,Destiny Logistics & Infra,ROE Ann. %,2.2%,2.5%,8.30%,7.43%,7.81%,7.77%,30.25%,7.32%,7.37%,,,,
3669,Destiny Logistics & Infra,ROCE Ann. %,3.8%,-12.8%,12.34%,13.44%,11.39%,11.02%,42.90%,24.42%,25.58%,,,,
3670,Destiny Logistics & Infra,Profitability Ratio, , , , , , , , , ,,,,
3671,Destiny Logistics & Infra,EBITDA Ann. Margin %,12.5%,24.9%,7.67%,6.89%,5.69%,5.38%,5.56%,2.52%,2.46%,,,,
3672,Destiny Logistics & Infra,EBIT Ann. Margin %,11.6%,24.2%,7.45%,6.70%,5.68%,5.36%,5.40%,2.52%,2.46%,,,,
3673,Destiny Logistics & Infra,PBT Ann. Margin %,1.4%,38.8%,5.26%,5.08%,5.08%,5.05%,4.07%,1.02%,0.95%,,,,
3674,Destiny Logistics & Infra,NPM Ann. %,0.6%,38.3%,3.80%,3.67%,3.64%,3.73%,3.01%,0.75%,0.70%,,,,
3675,Destiny Logistics & Infra,Asset Turnover Ann. %,-17%,-20.6%,1.2,1.2,1.7,2.1,2.4,3.8,-,,,,
3676,Destiny Logistics & Infra,Liquidity Ratio, , , , , , , , , ,,,,
3677,Destiny Logistics & Infra,Current Ratio Ann.,-8.2%,1.2%,1.7,1.5,2.2,2.2,1.2,1.6,1.6,,,,
3678,Destiny Logistics & Infra,Quick Ratio Ann.,-10.6%,-1.3%,1.5,1.4,2.1,2.1,1.2,1.6,1.6,,,,
3679,Destiny Logistics & Infra,Dividend Payout to NP Ann.,-,-,-,-,-,-,-,-,-,,,,
3680,Destiny Logistics & Infra,Earning Retention Ann. %,-,-,-,,,,,,,,,,
3681,Destiny Logistics & Infra,Cash Earning Retention Ann. %,-,-,-,,,,,,,,,,
3682,Destiny Logistics & Infra,Cash Earning Retention Ann. %,-,-,-,,,,,,,,,,
3683,Destiny Logistics & Infra,Valuation Ratio, , , , , , , , , ,,,,
3684,Destiny Logistics & Infra,EnterpriseValue Ann.,134.8%,-,133.3,54.5,24.5,10.3,,,,,,,
3685,Destiny Logistics & Infra,EV Per Net Sales Ann.,88.2%,-,2,0.9,0.4,0.3,-,-,-,,,,
3686,Destiny Logistics & Infra,,94.9%,-,3.7,1.5,0.9,0.5,-,-,-,,,,
3687,Destiny Logistics & Infra,EV Per EBITDA Ann.,66.7%,-,25.5,13.7,7.6,5.5,-,-,-,,,,
3688,Destiny Logistics & Infra,Market Cap Per Sales Ann.,78.3%,-,1.7,0.7,0.4,0.3,-,-,-,,,,
3689,Destiny Logistics & Infra,Retention Ratio Ann. %,-,-,-,,,,,,,,,,
3690,Destiny Logistics & Infra,Earnings Yield Ann.,-,-,0,0.1,0.1,0.2,,,,,,,
3691,Destiny Logistics & Infra,Total Debt to Total Equity Ann.,81.7%,-14.3%,0.6,0.5,0.1,0.1,3.7,1.3,1.4,,,,
3692,Samor Reality,BVSH Ann.,1.1%,-,27.1,22.7,25.6,26.2,10.4,,10,,,,
3693,Samor Reality,RoA Ann. %,-,-,-0.49%,-0.34%,0.30%,0.95%,2.94%,-24.00%,6.63%,,,,
3694,Samor Reality,ROE Ann. %,-,-,-1.02%,-0.61%,0.45%,1.00%,3.36%,,23.11%,,,,
3695,Samor Reality,ROCE Ann. %,34.4%,-,3.52%,1.01%,2.16%,1.45%,4.50%,,46.30%,,,,
3696,Samor Reality,Profitability Ratio, , , , , , , , , ,,,,
3697,Samor Reality,EBITDA Ann. Margin %,860.2%,242.6%,,"1,283.78%",5.39%,0.95%,1.45%,-6.25%,2.72%,,,,
3698,Samor Reality,EBIT Ann. Margin %,853.9%,241.8%,,"1,250.08%",5.31%,0.94%,1.44%,-6.48%,2.68%,,,,
3699,Samor Reality,PBT Ann. Margin %,-,-,,-826.64%,1.22%,0.90%,1.44%,-6.50%,2.68%,,,,
3700,Samor Reality,NPM Ann. %,-,-,,-477.36%,0.91%,0.65%,1.08%,-8.27%,1.33%,,,,
3701,Samor Reality,Asset Turnover Ann. %,-,-,,,0.5,2.3,4.9,1,-,,,,
3702,Samor Reality,Liquidity Ratio, , , , , , , , , ,,,,
3703,Samor Reality,Current Ratio Ann.,-42%,35.1%,4.5,6.1,3.9,23.1,3.4,1,1.3,,,,
3704,Samor Reality,Quick Ratio Ann.,-67.1%,-24.2%,0.1,0.3,0.6,2.8,3,0.4,0.2,,,,
3705,Samor Reality,Dividend Payout to NP Ann.,-,-,,,-,-,-,-,-,,,,
3706,Samor Reality,Earning Retention Ann. %,-,-,-,,,,,,,,,,
3707,Samor Reality,Cash Earning Retention Ann. %,-,-,-,,,,,,,,,,
3708,Samor Reality,Cash Earning Retention Ann. %,-,-,-,,,,,,,,,,
3709,Samor Reality,Valuation Ratio, , , , , , , , , ,,,,
3710,Samor Reality,EnterpriseValue Ann.,96.4%,-,201.6,298.1,59.4,26.6,,,,,,,
3711,Samor Reality,EV Per Net Sales Ann.,-,-,,"4,785",4.3,1.5,-,-,-,,,,
3712,Samor Reality,,2.7%,-,2.6,5.7,1.9,2.4,-,,-,,,,
3713,Samor Reality,EV Per EBITDA Ann.,-30.7%,-,53.4,372.7,80,160.7,-,-,-,,,,
3714,Samor Reality,Market Cap Per Sales Ann.,-,-,,"4,417.3",3.8,1.6,-,-,-,,,,
3715,Samor Reality,Retention Ratio Ann. %,-,-,-,,,,,,,,,,
3716,Samor Reality,Earnings Yield Ann.,-,-,,,,,,,,,,,
3717,Samor Reality,Total Debt to Total Equity Ann., , ,0.7,0.5,0.3,0, , ,1.2,,,,
3718,CWD,BVSH Ann.,29.5%,-,114,77,58.5,52.5,3.9,-76.8,"-3,096.3",,,,
3719,CWD,RoA Ann. %,-31.9%,-15.1%,3.00%,2.36%,6.40%,9.50%,16.68%,6.82%,-89.87%,,,,
3720,CWD,ROE Ann. %,-27.9%,-,5.79%,4.11%,10.22%,15.47%,106.52%,-10.52%,,,,,
3721,CWD,ROCE Ann. %,-22.2%,-26.6%,10.26%,8.70%,14.24%,21.76%,28.60%,48.18%,-43.45%,,,,
3722,CWD,Profitability Ratio, , , , , , , , , ,,,,
3723,CWD,EBITDA Ann. Margin %,-14%,-5.5%,24.45%,31.66%,27.01%,38.42%,44.89%,32.36%,-510.32%,,,,
3724,CWD,EBIT Ann. Margin %,-13.5%,-7.7%,19.30%,15.19%,15.16%,29.79%,37.18%,28.87%,-530.43%,,,,
3725,CWD,PBT Ann. Margin %,-27%,-1%,10.48%,9.10%,13.09%,26.98%,21.85%,11.03%,"-1,438.58%",,,,
3726,CWD,NPM Ann. %,-27.2%,-7.5%,7.62%,6.45%,9.50%,19.78%,46.22%,11.26%,"-1,439.40%",,,,
3727,CWD,Asset Turnover Ann. %,-14.5%,-14.6%,0.5,0.4,0.7,0.8,0.5,1.1,-,,,,
3728,CWD,Liquidity Ratio, , , , , , , , , ,,,,
3729,CWD,Current Ratio Ann.,27.4%,25.4%,3.1,1.9,2,1.5,1,1,0.9,,,,
3730,CWD,Quick Ratio Ann.,40.1%,40.6%,2.2,1.3,1.3,0.8,0.3,0.4,0.5,,,,
3731,CWD,Dividend Payout to NP Ann.,-,-,-,-,-,-,-,-,-,,,,
3732,CWD,Earning Retention Ann. %,-,-,-,,,,,,,,,,
3733,CWD,Cash Earning Retention Ann. %,-,-,-,,,,,,,,,,
3734,CWD,Cash Earning Retention Ann. %,-,-,-,,,,,,,,,,
3735,CWD,Valuation Ratio, , , , , , , , , ,,,,
3736,CWD,EnterpriseValue Ann.,13%,-,329.4,239.7,613.6,228.2,,,,,,,
3737,CWD,EV Per Net Sales Ann.,-13.4%,-,10,13.5,27,15.4,-,-,-,,,,
3738,CWD,,-12.9%,-,8,8.4,28.9,12.1,-,-,-,,,,
3739,CWD,EV Per EBITDA Ann.,0.7%,-,40.9,42.7,100,40,-,-,-,,,,
3740,CWD,Market Cap Per Sales Ann.,-11.9%,-,10.6,13.2,26.8,15.5,-,-,-,,,,
3741,CWD,Retention Ratio Ann. %,-,-,-,,,,,,,,,,
3742,CWD,Earnings Yield Ann.,-,-,0,,,0,,,,,,,
3743,CWD,Total Debt to Total Equity Ann.,0%,-,0.2,0.4,0.2,0.2,3.8,-2.3,-1.1,,,,
3744,Adishakti Loha & Ispat,BVSH Ann.,46.1%,25.8%,34.3,11.2,11.2,11,11,10.9,15,,,,
3745,Adishakti Loha & Ispat,RoA Ann. %,101%,-,1.38%,0.53%,1.34%,0.17%,0.05%,-0.22%,52.29%,,,,
3746,Adishakti Loha & Ispat,ROE Ann. %,113.4%,-,1.75%,0.54%,1.43%,0.18%,0.11%,-0.71%,159.21%,,,,
3747,Adishakti Loha & Ispat,ROCE Ann. %,-1.9%,-,2.48%,1.60%,1.89%,2.63%,0.18%,-0.31%,63.86%,,,,
3748,Adishakti Loha & Ispat,Profitability Ratio, , , , , , , , , ,,,,
3749,Adishakti Loha & Ispat,EBITDA Ann. Margin %,32.2%,-,6.40%,4.70%,3.05%,2.77%,0.21%,-0.08%,94.56%,,,,
3750,Adishakti Loha & Ispat,EBIT Ann. Margin %,42.2%,-,6.36%,4.33%,2.58%,2.21%,0.04%,-0.08%,94.56%,,,,
3751,Adishakti Loha & Ispat,PBT Ann. Margin %,-,-,6.25%,4.33%,2.58%,-0.33%,0.04%,-0.08%,94.56%,,,,
3752,Adishakti Loha & Ispat,NPM Ann. %,210.5%,-,4.49%,1.47%,1.95%,0.15%,0.02%,-0.19%,88.30%,,,,
3753,Adishakti Loha & Ispat,Asset Turnover Ann. %,-20.6%,-26.3%,0.5,0.4,0.7,1,1.4,2.3,-,,,,
3754,Adishakti Loha & Ispat,Liquidity Ratio, , , , , , , , , ,,,,
3755,Adishakti Loha & Ispat,Current Ratio Ann.,-31.6%,26.2%,4.8,91,15.6,15,1.9,1.5,8.1,,,,
3756,Adishakti Loha & Ispat,Quick Ratio Ann.,-50.1%,3.7%,1.8,91,15.6,14.5,1.9,1.5,8.1,,,,
3757,Adishakti Loha & Ispat,Dividend Payout to NP Ann.,-,-,-,-,-,-,-,-,-,,,,
3758,Adishakti Loha & Ispat,Earning Retention Ann. %,-,-,-,,,,,,,,,,
3759,Adishakti Loha & Ispat,Cash Earning Retention Ann. %,-,-,-,,,,,,,,,,
3760,Adishakti Loha & Ispat,Cash Earning Retention Ann. %,-,-,-,,,,,,,,,,
3761,Adishakti Loha & Ispat,Valuation Ratio, , , , , , , , , ,,,,
3762,Adishakti Loha & Ispat,EnterpriseValue Ann.,27.2%,-,7,4.8,3.3,3.4,,,,,,,
3763,Adishakti Loha & Ispat,EV Per Net Sales Ann.,26%,-,1.2,2.5,0.9,0.6,-,-,-,,,,
3764,Adishakti Loha & Ispat,,-10.6%,-,0.5,0.9,0.7,0.7,-,-,-,,,,
3765,Adishakti Loha & Ispat,EV Per EBITDA Ann.,-4.7%,-,18,53.6,29.2,20.8,-,-,-,,,,
3766,Adishakti Loha & Ispat,Market Cap Per Sales Ann.,26%,-,1.2,2.5,0.9,0.6,-,-,-,,,,
3767,Adishakti Loha & Ispat,Retention Ratio Ann. %,-,-,-,,,,,,,,,,
3768,Adishakti Loha & Ispat,Earnings Yield Ann.,-,-,0,0,0,,,,,,,,
3769,Adishakti Loha & Ispat,Total Debt to Total Equity Ann., , , , , , , ,0,1.7,,,,
3770,Bombay Metrics Supply,BVSH Ann.,-36.3%,-64.7%,15.5,24.4,19.3,60.1,38.6,"2,842.8","1,448.2",514,,,
3771,Bombay Metrics Supply,RoA Ann. %,31.8%,-12.3%,7.96%,7.43%,8.27%,3.48%,8.35%,15.35%,11.99%,11.65%,,,
3772,Bombay Metrics Supply,ROE Ann. %,19%,-14.3%,22.68%,22.57%,23.13%,13.46%,31.28%,49.05%,64.51%,85.56%,,,
3773,Bombay Metrics Supply,ROCE Ann. %,23.6%,-10.7%,36.23%,27.91%,29.46%,19.21%,45.18%,63.83%,83.14%,92.58%,,,
3774,Bombay Metrics Supply,Profitability Ratio, , , , , , , , , , ,,,
3775,Bombay Metrics Supply,EBITDA Ann. Margin %,37.4%,4.3%,8.37%,6.40%,6.84%,3.23%,6.21%,6.77%,7.08%,9.24%,,,
3776,Bombay Metrics Supply,EBIT Ann. Margin %,34%,1.9%,7.08%,5.59%,6.06%,2.94%,5.95%,6.44%,6.64%,8.02%,,,
3777,Bombay Metrics Supply,PBT Ann. Margin %,26.5%,-1.7%,5.91%,5.32%,5.58%,2.92%,5.94%,6.43%,6.61%,7.99%,,,
3778,Bombay Metrics Supply,NPM Ann. %,28.9%,-1.6%,4.33%,3.95%,3.96%,2.02%,4.03%,4.69%,4.66%,5.75%,,,
3779,Bombay Metrics Supply,Asset Turnover Ann. %,-5.9%,-10.6%,2,2.2,2,2.4,2.6,3.5,3.5,-,,,
3780,Bombay Metrics Supply,Liquidity Ratio, , , , , , , , , , ,,,
3781,Bombay Metrics Supply,Current Ratio Ann.,-2.6%,-3%,1.2,1.2,1.4,1.3,1.3,1.4,1.2,1.1,,,
3782,Bombay Metrics Supply,Quick Ratio Ann.,0%,-3%,1.2,1.2,1.4,1.2,1.3,1.4,1.1,1.1,,,
3783,Bombay Metrics Supply,Dividend Payout to NP Ann.,-,-,-,-,-,-,-,-,-,-,,,
3784,Bombay Metrics Supply,Earning Retention Ann. %,-,-,-,92.73%,95.52%,,98.47%,,,,,,
3785,Bombay Metrics Supply,Cash Earning Retention Ann. %,-,-,-,93.97%,96.26%,,98.56%,,,,,,
3786,Bombay Metrics Supply,Cash Earning Retention Ann. %,-,-,-,93.97%,96.26%,,98.56%,,,,,,
3787,Bombay Metrics Supply,Valuation Ratio, , , , , , , , , , ,,,
3788,Bombay Metrics Supply,EnterpriseValue Ann.,-0.7%,-,62.8,49,262.5,64.1,,,,,,,
3789,Bombay Metrics Supply,EV Per Net Sales Ann.,-15.7%,-,0.6,0.6,3.8,1,-,-,-,-,,,
3790,Bombay Metrics Supply,,-26.9%,-,2.7,3.1,22,6.9,-,-,-,-,,,
3791,Bombay Metrics Supply,EV Per EBITDA Ann.,-38.5%,-,7.5,8.9,55.4,32.3,-,-,-,-,,,
3792,Bombay Metrics Supply,Market Cap Per Sales Ann.,-20.6%,-,0.5,0.5,3.8,1,-,-,-,-,,,
3793,Bombay Metrics Supply,Retention Ratio Ann. %,-,-,-,92.72%,95.51%,,98.46%,,,,,,
3794,Bombay Metrics Supply,Earnings Yield Ann.,-,-,0.1,0.1,0,0,,,,,,,
3795,Bombay Metrics Supply,Total Debt to Total Equity Ann.,-,-,0.6,0.2,0.2,0,0,0,0.1,0.2,,,
3796,Promax Power,BVSH Ann.,2.3%,-48.2%,12,22.2,18.6,11.2,11.1,321.4,10,,,,
3797,Promax Power,RoA Ann. %,70.2%,18.5%,3.50%,2.24%,1.74%,0.71%,0.87%,1.50%,-0.11%,,,,
3798,Promax Power,ROE Ann. %,37.1%,-39.6%,7.79%,4.95%,3.05%,3.02%,3.64%,96.89%,-0.11%,,,,
3799,Promax Power,ROCE Ann. %,61.1%,21%,15.39%,12.55%,8.99%,3.68%,4.04%,5.94%,-0.11%,,,,
3800,Promax Power,Profitability Ratio, , , , , , , , , ,,,,
3801,Promax Power,EBITDA Ann. Margin %,96.2%,6.9%,7.55%,5.91%,4.06%,1.00%,1.15%,5.40%,,,,,
